outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	local_direction_group	rho_ukb	p_ukb	ukb_fdr_within_outcome	gene	probeID	n_tissues	tissues	tissue_classes	top_tissue	top_snp	min_p_smr	min_smr_fdr_global	min_p_heidi	b_smr_direction	phase4c_eqtl_gene_tier
psa	positive_control_near_neighbor	26	1	23907046	25885138	Tier 1	positive_local_rg	0.951302	5.64386e-14	1.739235e-13	IFNLR1	ENSG00000185436	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	rs7552167	3.903298e-05	0.0004252342917307	0.0302184	positive	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	SLC22A5	ENSG00000197375	3	Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;skin	Spleen	rs200838	3.882572e-11	4.398954076e-09	0.0103812	negative	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	PDLIM4	ENSG00000131435	3	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs112537099	6.073009e-06	0.0001026973014477	0.01206301	negative	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	CDC42SE2	ENSG00000158985	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	rs2549012	0.001019774	0.0070451459878048	0.1095454	positive	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	887	5	130573818	132554690	Tier 1	positive_local_rg	0.681052	6.34927e-08	6.34927e-08	C5orf56	ENSG00000197536	3	Skin_Not_Sun_Exposed_Suprapubic;Spleen;Whole_Blood	blood_immune;skin	Whole_Blood	rs2706386	0.001913321	0.0117308737729729	0.0131662	positive	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1041	6	111363444	112342873	Tier 1	positive_local_rg	1.0	7.34354e-27	3.6717700000000003e-26	C6orf3	ENSG00000255389	3	Cells_EBV-transformed_lymphocytes;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs9481169	9.230534e-10	4.6602708708695655e-08	0.1521576	negative	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	RP11-977G19.11	ENSG00000257303	4	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;skin	Skin_Not_Sun_Exposed_Suprapubic	rs57870697	1.805542e-14	5.114197715e-12	0.01093209	positive	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	RPS26	ENSG00000197728	5	Cells_EBV-transformed_lymphocytes;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs1131017	2.431872e-05	0.0003187046955172	0.0600683	positive	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	1793	12	55416803	56987105	Tier 1	positive_local_rg	0.986089	9.58204e-10	1.0646711111111112e-09	SUOX	ENSG00000139531	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs1873914	0.0001481791	0.0013649343113821	0.2145818	negative	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	TYK2	ENSG00000105397	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs35251378	8.246474e-07	1.832010792549019e-05	0.05553581	negative	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	ICAM5	ENSG00000105376	4	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;skin	Whole_Blood	rs73510898	8.968245e-06	0.0001391920765068	0.0473429	mixed	A_local_Tier1_recurrent_SMR2
psa	positive_control_near_neighbor	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.970272	6.95694e-14	1.739235e-13	MRPL4	ENSG00000105364	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	rs1059840	0.0001218577	0.0011700404584745	0.0281657	negative	A_local_Tier1_recurrent_SMR2
