outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	local_direction_group	rho_ukb	p_ukb	ukb_fdr_within_outcome	gene	probeID	n_tissues	tissues	tissue_classes	top_tissue	top_snp	min_p_smr	min_smr_fdr_global	min_p_heidi	b_smr_direction	phase4c_eqtl_gene_tier
crohn	ibd_direction_heterogeneity	10	1	7711795	8580987	Tier 1	positive_local_rg	0.455611	0.0115808	0.01389696	PARK7	ENSG00000116288	5	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;intestinal;skin	Whole_Blood	rs17523802	2.914638e-05	0.000343988005625	0.0254292	positive	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	10	1	7711795	8580987	Tier 1	positive_local_rg	0.455611	0.0115808	0.01389696	VAMP3	ENSG00000049245	4	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	intestinal;skin	Colon_Transverse	rs1048785	0.001444663	0.0095162975523255	0.01851543	positive	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.563557	2.064129999999999e-20	2.4769559999999995e-19	TCTEX1D1	ENSG00000152760	4	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	intestinal;skin	Skin_Sun_Exposed_Lower_leg	rs10493419	0.004905723	0.0257323340694444	0.3528575	positive	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	SLC22A5	ENSG00000197375	2	Colon_Sigmoid;Colon_Transverse	intestinal	Colon_Transverse	rs6860806	5.272797e-10	3.124946561e-08	0.02500401	positive	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	CDC42SE2	ENSG00000158985	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	rs2549012	5.336423e-06	9.301795783076924e-05	0.1021122	negative	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	KIF3A	ENSG00000131437	4	Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;intestinal;skin	Colon_Transverse	rs3798129	0.0006604999	0.0048593921214285	0.01095387	negative	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	887	5	130573818	132554690	Tier 1	negative_local_rg	-0.640178	3.75399e-10	1.501596e-09	HSPA4	ENSG00000170606	3	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;skin	Skin_Sun_Exposed_Lower_leg	rs72801474	0.005404289	0.0279591755114155	0.3404839	positive	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	57	1	66778016	67761890	Tier 1	negative_local_rg	-0.721601	5.2686899999999997e-20	5.26869e-19	TCTEX1D1	ENSG00000152760	5	Colon_Sigmoid;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Spleen;Whole_Blood	blood_immune;intestinal;skin	Whole_Blood	rs485122	0.00179224	0.0112188282872928	0.5011733	positive	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	ORMDL3	ENSG00000172057	3	Cells_EBV-transformed_lymphocytes;Spleen;Whole_Blood	blood_immune	Whole_Blood	rs8067378	1.518386e-11	2.1504141725000004e-09	0.01905842	positive	A_local_Tier1_recurrent_SMR2
uc	ibd_direction_heterogeneity	2203	17	37361179	38880481	Tier 1	negative_local_rg	-0.648616	0.000599561	0.001199122	GSDMB	ENSG00000073605	4	Cells_EBV-transformed_lymphocytes;Colon_Transverse;Skin_Sun_Exposed_Lower_leg;Spleen	blood_immune;intestinal;skin	Spleen	rs8067378	5.476116e-11	5.64039948e-09	0.01114936	positive	A_local_Tier1_recurrent_SMR2
