locus	chr	start	stop	outcome	status
2471	22	26166935	27192923	psa	OK
586	3	189451806	190591293	psa	OK
2159	16	78973581	79662634	psa	OK
1968	14	35379989	36422077	psa	OK
771	4	186881569	187985393	psa	OK
1038	6	107309328	109043244	psa	OK
888	5	132554691	134556570	psa	OK
1674	11	64594823	66782661	psa	OK
1071	6	148184845	149278798	psa	OK
196	1	244723197	245970505	psa	OK
2370	20	884242	1771285	psa	OK
1410	9	32253284	33194892	psa	OK
2194	17	21432874	25872110	psa	OK
1073	6	150635316	151629954	psa	OK
1314	8	79756170	81340231	psa	OK
2244	18	5575813	6756496	psa	OK
915	5	166863414	168342743	psa	OK
1856	12	128372589	129170296	psa	OK
407	2	230541093	231847386	psa	OK
2204	17	38880482	40233545	psa	OK
