locus	chr	start	stop	outcome	status
908	5	158484776	159663733	psa	OK
57	1	66778016	67761890	psa	OK
1041	6	111363444	112342873	psa	OK
26	1	23907046	25885138	psa	OK
1733	11	128262551	129451784	psa	OK
887	5	130573818	132554690	psa	OK
2195	17	25872111	27344401	psa	OK
347	2	161432090	163607635	psa	OK
53	1	61377616	62778733	psa	OK
1063	6	137553213	138825721	psa	OK
899	5	149850204	150981934	psa	OK
854	5	95117260	96467377	psa	OK
1793	12	55416803	56987105	psa	OK
2318	19	10028841	11681978	psa	OK
2450	21	35729262	37303548	psa	OK
2198	17	31318754	32356061	psa	OK
926	6	63979	1380679	psa	OK
1649	11	36331190	37119024	psa	OK
2251	18	12735559	13641479	psa	OK
1097	7	2473750	3100211	psa	OK
