Outcome	system	rg	SE	Z	P	FDR	h2_psoriasis	h2_psoriasis_SE	h2_outcome	h2_outcome_SE	outcome_intercept	cross_trait_intercept	QC_status	label	ci_low	ci_high	panel	outcome	scope	shared_loci_tested_local_h2	joint_h2_p05	joint_h2_1e5	bivar_loci_tested	fdr05_within_outcome	fdr05_all_tests	nominal_positive	nominal_negative	median_rho	min_p	top_locus	top_rho	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	univ_p_psoriasis	univ_p_outcome	phase4br_tier	phase4c_coloc_eligible	direction_concordant	eligible_for_display	locus_label	selected_locus_set	displayed_cell
Psoriatic arthritis	musculoskeletal_autoimmune	1.1715	0.0751	15.6049	6.7461e-55	4.0476600000000004e-54	0.2093	0.0197	0.1519	0.0276	1.0278	0.3142	CROSS_TRAIT_INTERCEPT_ELEVATED;NEAR_NEIGHBOR_PHENOTYPE	PsA	1.0243039999999999	1.318696	a																																			
Crohn disease	intestinal_autoimmune	-0.2717	0.0449	-6.0516	1.434e-09	2.868e-09	0.2093	0.0197	0.4184	0.0443	1.1144	-0.0636	ELEVATED_H2_INTERCEPT;CROSS_TRAIT_INTERCEPT_ELEVATED	Crohn	-0.359704	-0.183696	a																																			
Ulcerative colitis	intestinal_autoimmune	-0.2233	0.0409	-5.4578	4.8195e-08	7.22925e-08	0.2093	0.0197	0.245	0.0227	1.0933	-0.0625	ELEVATED_H2_INTERCEPT;CROSS_TRAIT_INTERCEPT_ELEVATED	UC	-0.303464	-0.14313599999999999	a																																			
Coronary artery disease	cardiometabolic_vascular	0.1732	0.0274	6.3271	2.4979e-10	7.4937e-10	0.2093	0.0197	0.0583	0.0033	0.9952	0.0189	PASS	CAD	0.11949599999999999	0.226904	a																																			
Ischemic stroke	cardiometabolic_vascular	0.0255	0.0589	0.4334	0.6647	0.7912	0.2093	0.0197	0.0086	0.0016	1.0569	0.0156	PASS	Stroke	-0.08994400000000001	0.140944	a																																			
Chronic kidney disease	renal	0.0118	0.0445	0.2648	0.7912	0.7912	0.2093	0.0197	0.0136	0.0019	1.0753	0.0102	PASS	CKD	-0.07541999999999999	0.09902	a																																			
														CAD			b	cad	primary_systemic	2011.0	1031.0	118.0	118.0	18.0	23.0	21.0	10.0	0.078692	5.23986e-08	347.0	0.650751																					
														Crohn			b	crohn	qc_flagged_ibd	1981.0	940.0	131.0	131.0	49.0	49.0	9.0	51.0	-0.207759	8.18747e-23	57.0	-0.534925																					
														PsA			b	psa	positive_control_near_neighbor	1773.0	716.0	40.0	40.0	36.0	31.0	36.0	0.0	0.6314835000000001	9.90536e-87	908.0	0.944787																					
														UC			b	uc	qc_flagged_ibd	1961.0	925.0	98.0	98.0	17.0	19.0	7.0	18.0	-0.04786755	7.62106e-25	57.0	-0.689577																					
							0.00495075		0.00018963					CAD			c	cad														primary_systemic	347.0	2.0	161432090.0	163607635.0	0.650751	0.119558006882484	5.44297297160229	5.23986e-08	6.1830348e-06	8.16681456e-07	positive	1.99414e-67	4.67602e-08	Tier 1	True	True	True	L347 chr2:161.4-163.6Mb	True	True
							0.0010378		0.000257363					CAD			c	cad														primary_systemic	1215.0	7.0	138755108.0	140217630.0	0.840885	0.173326929505378	4.85143885257546	1.22569e-06	7.231571e-05	1.530135580645161e-05	positive	1.0113e-06	8.60972e-10	Tier 3	False	False	False	L1215 chr7:138.8-140.2Mb	True	False
							0.00156785		0.000340963					CAD			c	cad														primary_systemic	1841.0	12.0	111592382.0	113947983.0	0.605075	0.130195319540991	4.64744049273979	3.36079e-06	0.0001321910733333	3.6128492499999994e-05	positive	1.63386e-13	1.02772e-16	Tier 1	True	True	True	L1841 chr12:111.6-113.9Mb	True	True
							0.00142872		0.000241219					CAD			c	cad														primary_systemic	113.0	1.0	154685546.0	156813845.0	0.631202	0.1585048698509	3.98222465084985	6.82732e-05	0.00161124752	0.0005621644340425	positive	4.94652e-10	1.14644e-08	Tier 1	True	True	True	L113 chr1:154.7-156.8Mb	True	True
							0.00298227		0.000344584					CAD			c	cad														primary_systemic	1559.0	10.0	79952997.0	81190573.0	-0.13054	0.11177063398427	1.16792752574323	0.242836	0.4297542388059702	0.3948635798319327	negative	7.558279999999999e-27	3.65991e-13				False	L1559 chr10:80.0-81.2Mb	True	False
							0.00521621		0.0276692					Crohn			c	crohn														qc_flagged_ibd	57.0	1.0	66778016.0	67761890.0	-0.534925	0.0544058518527784	9.83212249754863	8.18747e-23	1.07255857e-20	7.921377225e-21	negative	2.52945e-81	3.31129e-199	Tier 1	True	True	True	L57 chr1:66.8-67.8Mb	True	True
							0.00362657		0.00664787					Crohn			c	crohn														qc_flagged_ibd	887.0	5.0	130573818.0	132554690.0	-0.642693	0.0875144300817403	7.34385174421763	2.07533e-13	1.35934115e-11	6.6929392499999995e-12	negative	7.56973e-50	4.57623e-33	Tier 1	True	True	True	L887 chr5:130.6-132.6Mb	True	True
							0.0266355		0.00958946					Crohn			c	crohn														qc_flagged_ibd	908.0	5.0	158484776.0	159663733.0	0.381768	0.0549082579001584	6.952833956127	3.5802e-12	1.563354e-10	1.065798e-10	positive	0.0	6.38918e-46	Tier 1	True	True	True	L908 chr5:158.5-159.7Mb	True	True
							0.00187582		0.00264259					Crohn			c	crohn														qc_flagged_ibd	1082.0	6.0	158952061.0	159604052.0	-0.945307	0.142232394978391	6.64621445869361	3.00727e-11	9.84880925e-10	7.7587566e-10	negative	4.89655e-22	5.53543e-10	Tier 1	True	True	True	L1082 chr6:159.0-159.6Mb	True	True
