phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	fdr_within_pheno
psoriasis	0.000300133	0.00104989	FALSE	0.00712043	1	1	10539	1376204	0.0161896092631579
psa	0.000901343	0.00187367	FALSE	0.0187505	1	1	10539	1376204	0.0498476407103825
crohn	0.000111725	0.000193475	FALSE	0.313756	1	1	10539	1376204	0.335855727839003
uc	0.000784593	0.00141651	FALSE	0.00149391	1	1	10539	1376204	0.00481030258064516
cad	1.27448e-05	2.47417e-05	FALSE	0.239535	1	1	10539	1376204	0.261242581306629
psoriasis	0.000104128	0.000364248	FALSE	0.167184	2	1	1376205	2215495	0.20837705712637
crohn	0.0015424	0.00267097	FALSE	3.41929e-06	2	1	1376205	2215495	2.61599104794521e-05
uc	0.000743594	0.00134249	FALSE	0.00300229	2	1	1376205	2215495	0.00843820020460358
cad	0.000115947	0.00022509	FALSE	2.42522e-06	2	1	1376205	2215495	1.51543118579235e-05
psoriasis	0.000317899	0.00111204	FALSE	0.0193114	3	1	2215496	2983519	0.036208875
crohn	0.000218741	0.000378794	FALSE	0.262862	3	1	2215496	2983519	0.289991954567901
uc	0.00190906	0.00344663	FALSE	4.06501e-07	3	1	2215496	2983519	6.07262718367347e-06
cad	0.000195305	0.000379147	FALSE	3.61391e-09	3	1	2215496	2983519	5.03964156707317e-08
psoriasis	0.000566249	0.00198079	FALSE	0.00106384	4	1	2983520	3582047	0.0033351152394775
psa	0.0022878	0.00475578	FALSE	0.000597071	4	1	2983520	3582047	0.00410565429681979
crohn	0.000239491	0.000414726	FALSE	0.272456	4	1	2983520	3582047	0.299246167158309
uc	0.000348045	0.000628365	FALSE	0.167252	4	1	2983520	3582047	0.207388702428007
cad	0.000262585	0.00050976	FALSE	7.4589e-12	4	1	2983520	3582047	1.85418525e-10
psoriasis	0.000438879	0.00153524	FALSE	0.00450912	5	1	3582048	4281476	0.0111057003420753
psa	0.00144435	0.00300246	FALSE	0.0112614	5	1	3582048	4281476	0.0347852133333333
crohn	0.000522115	0.000904146	FALSE	0.0920729	5	1	3582048	4281476	0.122800512597015
uc	0.00103581	0.00187006	FALSE	0.0026705	5	1	3582048	4281476	0.00767593979057592
cad	4.20938e-05	8.17172e-05	FALSE	0.0744116	5	1	3582048	4281476	0.0979167601841197
psoriasis	0.000299314	0.00104703	FALSE	0.0349129	6	1	4281477	4773403	0.0594262127659574
crohn	0.000844312	0.0014621	FALSE	0.023999	6	1	4281477	4773403	0.0420852984301413
uc	0.000711736	0.00128498	FALSE	0.0280976	6	1	4281477	4773403	0.0491260585987261
cad	0.000124949	0.000242566	FALSE	0.000114683	6	1	4281477	4773403	0.000415347425632911
psoriasis	1.16334e-05	4.06947e-05	FALSE	0.456325	7	1	4773404	5362404	0.461317173607861
crohn	0.000215571	0.000373305	FALSE	0.294339	7	1	4773404	5362404	0.319114055312955
uc	0.000687862	0.00124187	FALSE	0.037377	7	1	4773404	5362404	0.0612079731543624
cad	4.32104e-05	8.38848e-05	FALSE	0.0865107	7	1	4773404	5362404	0.11102691969697
psoriasis	0.000574216	0.00200866	FALSE	0.000647598	8	1	5362405	6136814	0.00219938943396226
psa	0.000975013	0.00202681	FALSE	0.0654648	8	1	5362405	6136814	0.119731673684211
crohn	0.00111072	0.00192344	FALSE	0.00615745	8	1	5362405	6136814	0.0139228171052632
uc	0.000459326	0.000829273	FALSE	0.103828	8	1	5362405	6136814	0.141355417234966
cad	9.88545e-05	0.000191907	FALSE	0.00151727	8	1	5362405	6136814	0.00370726120726496
psoriasis	0.000253292	0.000886039	FALSE	0.102773	9	1	6136815	7711794	0.141125034965035
psa	0.000888952	0.00184791	FALSE	0.125801	9	1	6136815	7711794	0.191107530054645
crohn	0.0012713	0.00220152	FALSE	0.00880118	9	1	6136815	7711794	0.0185314195287465
uc	0.000702371	0.00126807	FALSE	0.0608053	9	1	6136815	7711794	0.0915187885010267
cad	0.000128623	0.000249698	FALSE	0.000764536	9	1	6136815	7711794	0.00209903221128451
psoriasis	0.00142522	0.00498557	FALSE	2.83201e-14	10	1	7711795	8580987	1.22342832e-12
psa	0.000511166	0.00106259	FALSE	0.171863	10	1	7711795	8580987	0.237701064676617
crohn	0.0027205	0.0047111	FALSE	1.21392e-09	10	1	7711795	8580987	2.76724212244898e-08
uc	0.00134842	0.00243446	FALSE	0.000100476	10	1	7711795	8580987	0.000548868895522388
cad	7.95468e-05	0.000154425	FALSE	0.00313982	10	1	7711795	8580987	0.00666738007428041
psoriasis	0.000908782	0.00317901	FALSE	2.04377e-06	11	1	8580988	9475966	1.78005774193548e-05
psa	0.000539953	0.00112243	FALSE	0.200245	11	1	8580988	9475966	0.262232012113055
crohn	0.0019701	0.00341163	FALSE	2.90837e-05	11	1	8580988	9475966	0.000158085123600973
uc	0.00152604	0.00275513	FALSE	0.000152755	11	1	8580988	9475966	0.000758936606334842
cad	0.000104007	0.00020191	FALSE	0.00136078	11	1	8580988	9475966	0.00340865702081051
psoriasis	0.000546461	0.00191157	FALSE	0.000496693	12	1	9475967	10753427	0.00180186402684564
crohn	0.000327172	0.000566565	FALSE	0.185121	12	1	9475967	10753427	0.218237632717678
cad	5.35521e-05	0.000103961	FALSE	0.0314171	12	1	9475967	10753427	0.0473014533903884
psoriasis	0.000706659	0.00247196	FALSE	5.11263e-05	13	1	10753428	11709173	0.00027608202
psa	0.000852481	0.0017721	FALSE	0.0851117	13	1	10753428	11709173	0.144671248558952
crohn	0.00135484	0.00234617	FALSE	0.00109724	13	1	10753428	11709173	0.00328143796519411
uc	0.000441401	0.000796911	FALSE	0.105917	13	1	10753428	11709173	0.143665059913527
cad	4.50061e-05	8.73708e-05	FALSE	0.0679098	13	1	10753428	11709173	0.0909576010526316
psoriasis	0.00169713	0.00593671	FALSE	1.82464e-13	14	1	11709174	13481025	7.16585890909091e-12
psa	0.00292023	0.00607044	FALSE	0.000105009	14	1	11709174	13481025	0.00108505459259259
crohn	0.00225415	0.00390351	FALSE	9.32586e-06	14	1	11709174	13481025	6.00402629394813e-05
uc	0.00145982	0.00263558	FALSE	0.000520191	14	1	11709174	13481025	0.00200410427368421
cad	0.000131536	0.000255352	FALSE	0.000245252	14	1	11709174	13481025	0.000812885976811594
psoriasis	0.000702613	0.00245781	FALSE	0.000357037	15	1	13481026	14720131	0.00135884154929577
psa	0.00118391	0.00246106	FALSE	0.0581157	15	1	13481026	14720131	0.110442531445312
crohn	0.00177098	0.0030668	FALSE	0.000407925	15	1	13481026	14720131	0.00143286863207547
uc	0.00105493	0.00190458	FALSE	0.00912828	15	1	13481026	14720131	0.0199325419085487
cad	4.09735e-05	7.95424e-05	FALSE	0.124417	15	1	13481026	14720131	0.150471538339503
psoriasis	0.000693091	0.0024245	FALSE	0.000753939	16	1	14720132	15755230	0.0024862721221374
psa	0.00333704	0.0069369	FALSE	5.94117e-05	16	1	14720132	15755230	0.000672181210465116
crohn	0.00250267	0.00433387	FALSE	7.20204e-06	16	1	14720132	15755230	4.78849921428571e-05
uc	0.00228078	0.00411774	FALSE	3.55203e-06	16	1	14720132	15755230	3.51540032432432e-05
cad	0.000156836	0.000304468	FALSE	8.63191e-05	16	1	14720132	15755230	0.000327382722553897
psoriasis	0.000195599	0.000684225	FALSE	0.0613725	17	1	15755231	16732168	0.0932896551724138
psa	0.00193582	0.00402409	FALSE	0.000245013	17	1	15755231	16732168	0.00211801615789474
crohn	0.00087632	0.00151752	FALSE	0.00556413	17	1	15755231	16732168	0.0127883399382716
uc	0.000439047	0.000792661	FALSE	0.0608715	17	1	15755231	16732168	0.0915187885010267
cad	4.44923e-05	8.63734e-05	FALSE	0.0336792	17	1	15755231	16732168	0.050375624852845
psoriasis	0.000174216	0.000609425	FALSE	0.0694283	18	1	16732169	17557746	0.103210686854783
uc	0.000276741	0.000499631	FALSE	0.13387	18	1	16732169	17557746	0.173643544004725
cad	5.67709e-05	0.00011021	FALSE	0.00736905	18	1	16732169	17557746	0.013586070008058
psoriasis	0.00104086	0.00364101	FALSE	8.57823e-08	19	1	17557747	18427820	1.16534445283019e-06
psa	0.000576488	0.00119838	FALSE	0.182764	19	1	17557747	18427820	0.24735852294854
crohn	0.00024026	0.000416059	FALSE	0.275262	19	1	17557747	18427820	0.301586713094654
uc	0.00124765	0.00225252	FALSE	0.00112639	19	1	17557747	18427820	0.00381721055555556
cad	0.00014044	0.000272638	FALSE	3.9786e-05	19	1	17557747	18427820	0.000163946994594595
psoriasis	0.000626389	0.00219117	FALSE	0.00160125	20	1	18427821	19238924	0.00471855388813097
psa	0.000812819	0.00168965	FALSE	0.142591	20	1	18427821	19238924	0.208930168421053
crohn	0.00274431	0.00475233	FALSE	8.35419e-07	20	1	18427821	19238924	7.68035409876543e-06
uc	0.000969411	0.00175019	FALSE	0.0171648	20	1	18427821	19238924	0.033035846450482
cad	0.000184862	0.000358875	FALSE	4.80542e-06	20	1	18427821	19238924	2.7002446044226e-05
psoriasis	0.000299728	0.00104848	FALSE	0.0549986	21	1	19238925	20556202	0.0858980303687636
psa	0.00275038	0.00571736	FALSE	0.000240748	21	1	19238925	20556202	0.00210892295964126
crohn	0.000317312	0.000549489	FALSE	0.240543	21	1	19238925	20556202	0.268955486486486
uc	0.0135906	0.0245366	FALSE	3.25093e-82	21	1	19238925	20556202	7.13904228e-79
cad	0.000231082	0.000448603	FALSE	8.51862e-09	21	1	19238925	20556202	1.09759168707865e-07
psoriasis	0.000206993	0.00072408	FALSE	0.082284	22	1	20556203	21416121	0.117860371352785
psa	3.53158e-05	7.34128e-05	FALSE	0.457577	22	1	20556203	21416121	0.464984251697128
uc	0.00137083	0.00247492	FALSE	0.000128109	22	1	20556203	21416121	0.000665642382978723
cad	0.000127337	0.000247202	FALSE	3.43999e-05	22	1	20556203	21416121	0.000144088958424908
psoriasis	0.000103567	0.000362288	FALSE	0.220671	23	1	21416122	22145629	0.260291194762684
psa	0.000250946	0.000521655	FALSE	0.308579	23	1	21416122	22145629	0.35680019845514
crohn	0.000613036	0.0010616	FALSE	0.0492235	23	1	21416122	22145629	0.075681554714384
uc	0.000726777	0.00131213	FALSE	0.0149744	23	1	21416122	22145629	0.0298400929219601
cad	7.80274e-05	0.000151476	FALSE	0.00349593	23	1	21416122	22145629	0.00726835628181818
psoriasis	2.65114e-05	9.27396e-05	FALSE	0.407805	24	1	22145630	22740287	0.419656407813244
psa	0.000469025	0.000974988	FALSE	0.192844	24	1	22145630	22740287	0.255288723809524
crohn	0.00126784	0.00219552	FALSE	0.000899768	24	1	22145630	22740287	0.00277252649931034
uc	0.0037469	0.00676469	FALSE	1.45084e-17	24	1	22145630	22740287	2.12402976e-15
cad	0.000117962	0.000229	FALSE	6.73593e-05	24	1	22145630	22740287	0.000264237940137221
psoriasis	9.16397e-05	0.000320564	FALSE	0.268273	25	1	22740288	23907045	0.303387267015707
crohn	0.000983055	0.00170236	FALSE	0.0107348	25	1	22740288	23907045	0.0218014029090909
uc	0.000722257	0.00130397	FALSE	0.0249364	25	1	22740288	23907045	0.0447388352941177
cad	4.04952e-05	7.86139e-05	FALSE	0.0879434	25	1	22740288	23907045	0.11248688803132
psoriasis	0.00692596	0.0242277	FALSE	2.15734e-92	26	1	23907046	25885138	1.5532848e-89
psa	0.00969021	0.0201436	FALSE	2.2189e-22	26	1	23907046	25885138	1.07949485e-19
crohn	0.0028927	0.00500929	FALSE	2.42833e-07	26	1	23907046	25885138	2.59564077511962e-06
uc	0.00233907	0.00422299	FALSE	1.33951e-06	26	1	23907046	25885138	1.607412e-05
cad	0.000129936	0.000252246	FALSE	0.000575919	26	1	23907046	25885138	0.00165676321132075
psoriasis	0.000780183	0.00272915	FALSE	2.08452e-05	27	1	25885139	27992665	0.000131653894736842
crohn	0.00263353	0.00456049	FALSE	8.49552e-08	27	1	25885139	27992665	1.03146693913043e-06
uc	0.00084959	0.00153386	FALSE	0.0148402	27	1	25885139	27992665	0.0296122920980926
cad	0.000152463	0.000295977	FALSE	1.03233e-05	27	1	25885139	27992665	5.20030552863436e-05
