locus	chr	start	stop	h2.obs_psoriasis	p_psoriasis	fdr_within_pheno_psoriasis	h2.obs_outcome	p_outcome	fdr_within_pheno_outcome	outcome	local_h2_pass_p05	local_h2_pass_fdr10	min_h2_p
2318	19	10028841	11681978	0.0071045	6.95259e-97	7.5087972e-94	0.000995163	2.90384e-65	1.10684701333333e-62	cad	TRUE	TRUE	2.90384e-65
1674	11	64594823	66782661	0.00184511	4.38145e-18	2.62887e-16	0.000406676	1.57063e-22	1.56175252608696e-20	cad	TRUE	TRUE	4.38145e-18
1351	8	125453323	126766827	0.00170645	2.58439e-13	9.79347789473684e-12	0.000531435	2.18464e-27	2.93898334117647e-25	cad	TRUE	TRUE	2.58439e-13
1841	12	111592382	113947983	0.00153875	2.85488e-13	1.06319668965517e-11	0.000339849	9.30339e-17	5.18947632439024e-15	cad	TRUE	TRUE	2.85488e-13
36	1	38474037	40200950	0.0017046	1.05865e-12	3.74866229508197e-11	0.000312032	2.20783e-12	6.55754183116883e-11	cad	TRUE	TRUE	2.20783e-12
1559	10	79952997	81190573	0.00266044	7.12325e-23	6.154488e-21	0.000321572	5.54897e-12	1.41005493222222e-10	cad	TRUE	TRUE	5.54897e-12
927	6	1380680	2746531	0.00163088	5.43651e-11	1.54511336842105e-09	0.000360709	6.41389e-14	2.40468302131148e-12	cad	TRUE	TRUE	5.43651e-11
1453	9	109150718	110630150	0.00160436	6.05946e-11	1.69979657142857e-09	0.000540904	2.2674e-25	2.5927719e-23	cad	TRUE	TRUE	6.05946e-11
2026	14	99474534	100786189	0.00146682	1.08917e-10	2.90445333333333e-09	0.000413267	6.43826e-19	4.46190927878788e-17	cad	TRUE	TRUE	1.08917e-10
1569	10	89971629	91021321	0.00163239	1.07227e-14	4.825215e-13	0.000241181	1.80281e-10	3.5543331637931e-09	cad	TRUE	TRUE	1.80281e-10
898	5	148662215	149850203	0.00148132	2.12278e-10	5.52434313253012e-09	0.000286034	9.12878e-11	1.91536879449541e-09	cad	TRUE	TRUE	2.12278e-10
112	1	153410810	154685545	0.00128207	2.17881e-13	8.40398142857143e-12	0.000198268	2.21468e-10	4.29235013559322e-09	cad	TRUE	TRUE	2.21468e-10
906	5	156345452	157191081	0.00126613	1.80521e-12	6.18929142857143e-11	0.000205277	3.45281e-10	6.36820683064516e-09	cad	TRUE	TRUE	3.45281e-10
2230	17	73741322	74908266	0.00167709	4.16977e-15	2.046978e-13	0.000236145	3.90339e-10	7.11394946031746e-09	cad	TRUE	TRUE	3.90339e-10
1966	14	33591114	34695195	0.00181788	8.48375e-12	2.69483823529412e-10	0.000300785	7.90727e-10	1.35695731567164e-08	cad	TRUE	TRUE	7.90727e-10
1209	7	130418705	131856481	0.00149976	4.40298e-10	1.05178232967033e-08	0.000273766	1.02075e-09	1.6556420212766e-08	cad	TRUE	TRUE	1.02075e-09
2432	21	15840034	16873443	0.0013169	1.25904e-09	2.61492923076923e-08	0.000271334	4.80079e-11	1.0764124245098e-09	cad	TRUE	TRUE	1.25904e-09
267	2	59251997	60775066	0.00135562	1.76063e-09	3.52126e-08	0.000378223	1.97384e-16	1.00314935111111e-14	cad	TRUE	TRUE	1.76063e-09
2205	17	40233546	42348003	0.00233857	8.8809e-25	8.34032347826087e-23	0.000214207	3.0665e-09	4.3831784375e-08	cad	TRUE	TRUE	3.0665e-09
970	6	33864263	34979270	0.000894393	4.94903e-09	8.8346320661157e-08	0.000209879	3.74303e-12	9.87849934482759e-11	cad	TRUE	TRUE	4.94903e-09
47	1	54771294	55727134	0.00123378	5.03787e-09	8.91950754098361e-08	0.00042703	3.3957e-21	2.87628366666667e-19	cad	TRUE	TRUE	5.03787e-09
101	1	114664388	116207297	0.00123849	8.22768e-09	1.388421e-07	0.000375599	3.41117e-17	2.05298573421053e-15	cad	TRUE	TRUE	8.22768e-09
110	1	151146408	152535630	0.00142916	1.36127e-14	6.00070040816327e-13	0.000180525	1.30899e-08	1.61819466486486e-07	cad	TRUE	TRUE	1.30899e-08
347	2	161432090	163607635	0.00521302	2.57039e-73	6.940053e-71	0.000197379	1.32836e-08	1.63283284574468e-07	cad	TRUE	TRUE	1.32836e-08
97	1	110224231	111134062	0.00125586	3.82065e-09	7.11431379310345e-08	0.000223416	1.74478e-08	2.04631377435897e-07	cad	TRUE	TRUE	1.74478e-08
2182	17	8554764	9619356	0.00135758	2.6595e-09	5.22229090909091e-08	0.000235908	2.08687e-08	2.41044024747475e-07	cad	TRUE	TRUE	2.08687e-08
438	3	16084006	17182494	0.0013771	1.24346e-10	3.2754556097561e-09	0.000218308	2.31767e-08	2.650255645e-07	cad	TRUE	TRUE	2.31767e-08
269	2	62429911	63672118	0.00122725	2.1533e-11	6.55088450704225e-10	0.000181336	3.06974e-08	3.35908869856459e-07	cad	TRUE	TRUE	3.06974e-08
431	3	8664893	9970731	0.00178793	3.23573e-12	1.05896618181818e-10	0.00025361	3.20112e-08	3.46964997156398e-07	cad	TRUE	TRUE	3.20112e-08
893	5	141253831	142532956	0.00124596	4.10117e-08	6.06748438356164e-07	0.000323308	6.51147e-13	2.06829609583333e-11	cad	TRUE	TRUE	4.10117e-08
1913	13	73114510	74437635	0.00117566	4.37321e-08	6.4259412244898e-07	0.000325729	7.78512e-14	2.8717047483871e-12	cad	TRUE	TRUE	4.37321e-08
126	1	168179087	169521551	0.00114215	4.43338e-08	6.4269132885906e-07	0.000325645	2.34313e-14	9.74316056363636e-13	cad	TRUE	TRUE	4.43338e-08
785	5	9203856	10549029	0.00185844	8.55313e-13	3.0791268e-11	0.000249018	5.12453e-08	5.32718186818182e-07	cad	TRUE	TRUE	5.12453e-08
2351	19	45040933	45893307	0.00101193	6.43901e-08	8.973072e-07	0.000957093	1.0877e-70	6.21892475e-68	cad	TRUE	TRUE	6.43901e-08
2450	21	35729262	37303548	0.00280323	3.9563e-25	4.06933714285714e-23	0.000233397	6.69486e-08	6.74499771806167e-07	cad	TRUE	TRUE	6.69486e-08
1191	7	105312564	106399739	0.00124415	1.63084e-08	2.609344e-07	0.000218407	9.40354e-08	9.08104976371308e-07	cad	TRUE	TRUE	9.40354e-08
313	2	121073753	122026817	0.00125823	6.20559e-09	1.06381542857143e-07	0.000210237	1.02168e-07	9.77649439330544e-07	cad	TRUE	TRUE	1.02168e-07
155	1	201067953	202583884	0.00125024	1.18099e-07	1.55845317073171e-06	0.000243855	5.039e-08	5.26218858447489e-07	cad	TRUE	TRUE	1.18099e-07
2138	16	57119890	58508978	0.00120874	1.18327e-07	1.55845317073171e-06	0.000227801	1.15116e-07	1.08789376859504e-06	cad	TRUE	TRUE	1.18327e-07
113	1	154685546	156813845	0.00140234	6.99071e-10	1.54080955102041e-08	0.000216369	1.52361e-07	1.36113127734375e-06	cad	TRUE	TRUE	1.52361e-07
907	5	157191082	158484775	0.00375498	2.38561e-47	3.96378276923077e-45	0.000182784	1.9851e-07	1.73943436781609e-06	cad	TRUE	TRUE	1.9851e-07
2449	21	34383795	35729261	0.00107905	2.27413e-07	2.85588418604651e-06	0.000429199	6.61181e-21	5.40043195357143e-19	cad	TRUE	TRUE	2.27413e-07
88	1	101188316	102424611	0.00100133	3.07206e-07	3.72789303370786e-06	0.0002032	4.92956e-08	5.19534733640553e-07	cad	TRUE	TRUE	3.07206e-07
1852	12	124843769	126079935	0.00121944	3.17063e-07	3.82601162011173e-06	0.000530841	5.7941e-24	6.02323031818182e-22	cad	TRUE	TRUE	3.17063e-07
945	6	21295865	22199713	0.00116327	1.50487e-08	2.42576059701493e-07	0.0001911	3.37533e-07	2.77675529136691e-06	cad	TRUE	TRUE	3.37533e-07
1544	10	62626466	64069687	0.00102134	4.66485e-08	6.717384e-07	0.000176113	3.64599e-07	2.96739470818505e-06	cad	TRUE	TRUE	3.64599e-07
652	4	55681702	57103100	0.0012069	4.87905e-09	8.78229e-08	0.000189701	3.73611e-07	3.00862097535211e-06	cad	TRUE	TRUE	3.73611e-07
