outcome	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	h2_psoriasis	h2_outcome	univ_p_psoriasis	univ_p_outcome
psa	positive_control_near_neighbor	908	5	158484776	159663733	0.944787	0.047863138175183	19.7393450580278	9.905359999999999e-87	3.9621439999999997e-85	3.8333743199999993e-84	positive	0.0264938	0.020689	0.0	1.55217e-73
psa	positive_control_near_neighbor	1041	6	111363444	112342873	1.0	0.0912907497738667	10.9540123449207	6.3568e-28	1.2713599999999999e-26	1.2300408e-25	positive	0.00523373	0.00750383	3.80085e-82	1.20816e-22
uc	qc_flagged_ibd	57	1	66778016	67761890	-0.689577	0.0669983214236272	10.2924518905457	7.62106e-25	7.4686388e-23	9.8311674e-23	negative	0.00521621	0.00929634	2.52945e-81	3.5364e-61
crohn	qc_flagged_ibd	57	1	66778016	67761890	-0.534925	0.0544058518527784	9.83212249754863	8.18747e-23	1.07255857e-20	7.921377225e-21	negative	0.00521621	0.0276692	2.52945e-81	3.31129e-199
psa	positive_control_near_neighbor	26	1	23907046	25885138	0.753912	0.0818538120065603	9.21046902421083	3.24703e-20	4.329373333333333e-19	2.51320122e-18	positive	0.00710561	0.0100053	7.161709999999999e-95	2.93712e-23
psa	positive_control_near_neighbor	2318	19	10028841	11681978	0.930798	0.102123439055575	9.11444041258208	7.90775e-20	7.907749999999999e-19	5.1004987499999994e-18	positive	0.00725078	0.00620076	3.77904e-98	7.23944e-12
psa	positive_control_near_neighbor	57	1	66778016	67761890	0.740363	0.0843249489028366	8.77988080198048	1.63648e-18	1.309184e-17	9.047396571428571e-17	positive	0.0053474	0.00999499	1.32032e-83	1.21481e-32
psa	positive_control_near_neighbor	899	5	149850204	150981934	0.939633	0.115198308886197	8.15665619647464	3.44427e-16	2.29618e-15	1.6661656125e-14	positive	0.00635625	0.00471979	1.34618e-87	6.98253e-09
psa	positive_control_near_neighbor	2195	17	25872111	27344401	0.815946	0.101714209010034	8.02194706070526	1.04082e-15	5.947542857142858e-15	4.475526e-14	positive	0.0049298	0.00661275	2.35407e-68	3.27055e-16
psa	positive_control_near_neighbor	347	2	161432090	163607635	0.847701	0.111819752359168	7.58095937538088	3.43009e-14	1.715045e-13	1.3274448299999998e-12	positive	0.00513482	0.00536171	1.5363000000000002e-71	2.48993e-12
psa	positive_control_near_neighbor	887	5	130573818	132554690	0.807433	0.109936284257939	7.34455421565416	2.06446e-13	9.175377777777778e-13	6.6929392499999995e-12	positive	0.00357728	0.00606813	5.7897399999999996e-49	1.2929e-16
crohn	qc_flagged_ibd	887	5	130573818	132554690	-0.642693	0.0875144300817403	7.34385174421763	2.07533e-13	1.35934115e-11	6.6929392499999995e-12	negative	0.00362657	0.00664787	7.56973e-50	4.57623e-33
crohn	qc_flagged_ibd	908	5	158484776	159663733	0.381768	0.0549082579001584	6.952833956127	3.5802e-12	1.563354e-10	1.065798e-10	positive	0.0266355	0.00958946	0.0	6.38918e-46
