outcome	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	h2_psoriasis	h2_outcome	univ_p_psoriasis	univ_p_outcome
cad	primary_systemic	347	2	161432090	163607635	0.650751	0.119558006882484	5.44297297160229	5.23986e-08	6.1830348e-06	8.16681456e-07	positive	0.00495075	0.00018963	1.99414e-67	4.67602e-08
cad	primary_systemic	1215	7	138755108	140217630	0.840885	0.173326929505378	4.85143885257546	1.22569e-06	7.231571e-05	1.530135580645161e-05	positive	0.0010378	0.000257363	1.0113e-06	8.60972e-10
cad	primary_systemic	1841	12	111592382	113947983	0.605075	0.130195319540991	4.64744049273979	3.36079e-06	0.00013219107333333334	3.6128492499999994e-05	positive	0.00156785	0.000340963	1.63386e-13	1.02772e-16
cad	primary_systemic	267	2	59251997	60775066	0.560739	0.138773025300217	4.04069161702655	5.32938e-05	0.0015721671	0.00045832668	positive	0.00132195	0.000387675	4.50952e-09	7.00011e-17
cad	primary_systemic	113	1	154685546	156813845	0.631202	0.1585048698509	3.98222465084985	6.82732e-05	0.00161124752	0.0005621644340425532	positive	0.00142872	0.000241219	4.94652e-10	1.14644e-08
cad	primary_systemic	1850	12	121817510	123396634	0.692959	0.176188851929964	3.9330467984175	8.38759e-05	0.0016495593666666667	0.0006624484346938775	positive	0.00134113	0.000143914	1.19259e-12	4.14676e-06
cad	primary_systemic	2471	22	26166935	27192923	0.529898	0.139059531646116	3.81058381059779	0.000138639	0.0023370574285714284	0.0009580945178571428	positive	0.00277758	0.000204006	1.3417600000000001e-24	1.52013e-06
cad	primary_systemic	1732	11	127306872	128262550	0.55964	0.156738001365259	3.57054444439307	0.00035624	0.00525454	0.00226008	positive	0.00172171	0.000164616	1.87706e-17	4.88697e-07
cad	primary_systemic	2412	20	48212976	49236418	0.461416	0.13485259089525	3.42163244277907	0.000622464	0.008161194666666666	0.003785942390625	positive	0.00327176	0.000170016	8.795240000000001e-40	7.11555e-07
cad	primary_systemic	1913	13	73114510	74437635	0.533419	0.158145307589437	3.37296760890823	0.000743627	0.0087747986	0.004360358318181818	positive	0.00106366	0.000321619	5.72218e-07	1.65884e-13
cad	primary_systemic	101	1	114664388	116207297	-0.433126	0.142472904274233	3.04005875507608	0.00236532	0.02537343272727273	0.010897367142857143	negative	0.0011449	0.000396881	7.55447e-08	1.97952e-18
cad	primary_systemic	2318	19	10028841	11681978	0.178628	0.0593789878433719	3.00826953250162	0.0026274	0.025836099999999997	0.011962397647058823	positive	0.00722254	0.00106526	1.28165e-97	1.06178e-70
cad	primary_systemic	652	4	55681702	57103100	-0.482192	0.162991324269872	2.95839059017408	0.0030925	0.026243621428571427	0.013539129775280899	negative	0.00137954	0.000203397	9.79296e-11	9.19947e-08
cad	primary_systemic	275	2	68877775	70756283	0.548431	0.18551331242208	2.95628918938286	0.00311365	0.026243621428571427	0.013539129775280899	positive	0.00117805	0.000177555	4.14981e-08	4.74878e-06
cad	primary_systemic	431	3	8664893	9970731	-0.430999	0.151615706340265	2.84270680395557	0.00447322	0.035189330666666664	0.0183593203125	negative	0.00177262	0.0002468	5.64969e-12	7.31928e-08
cad	primary_systemic	1353	8	128073655	129291118	0.443033	0.163216399118888	2.71439023524401	0.00663979	0.04588580777777778	0.025955542727272726	positive	0.00101564	0.000344059	8.33613e-06	5.29368e-13
cad	primary_systemic	1873	13	28587126	30068525	-0.465255	0.172192788805898	2.70194241713835	0.00689357	0.04588580777777778	0.02641397613861386	negative	0.000956688	0.000285748	6.4308e-06	3.96374e-11
cad	primary_systemic	2095	15	95662426	96864278	0.444971	0.164995553179832	2.69686662109624	0.00699953	0.04588580777777778	0.026557040294117647	positive	0.00122495	0.000266107	1.26906e-07	2.57783e-09
cad	primary_systemic	1037	6	106053916	107309327	-0.406173	0.154000160365344	2.63748426648655	0.00835235	0.05187248947368421	0.030214826074766356	negative	0.001733	0.000214197	3.3194e-13	2.34416e-07
cad	primary_systemic	893	5	141253831	142532956	0.374403	0.14316408464571	2.61520199655199	0.00891747	0.052613072999999996	0.03137328081818182	positive	0.00143954	0.000322615	8.19548e-10	8.41244e-13
cad	primary_systemic	313	2	121073753	122026817	0.457099	0.178220533077852	2.56479425858481	0.0103237	0.0580093619047619	0.03535638849557522	positive	0.00124252	0.000188344	1.18581e-08	1.3065e-06
cad	primary_systemic	785	5	9203856	10549029	0.378708	0.148609321518482	2.54834620150595	0.0108235	0.05805331818181818	0.03674293421052631	positive	0.00192815	0.000244651	1.85604e-13	8.33268e-08
cad	primary_systemic	2432	21	15840034	16873443	-0.37575	0.15015731954014	2.5023755162302	0.0123363	0.06329058260869566	0.04080468461538461	negative	0.00127846	0.000293212	4.1917e-09	3.74847e-12
