locus	chr	pos	probe	gene	strand
113	1	154897210	ENSG00000163344	PMVK	-
113	1	154916552	ENSG00000163346	PBXIP1	-
113	1	154929502	ENSG00000163348	PYGO2	-
113	1	154934301	ENSG00000271380	RP11-307C12.12	+
113	1	154934774	ENSG00000160691	SHC1	-
113	1	154947129	ENSG00000173207	CKS1B	+
113	1	154955814	ENSG00000160688	FLAD1	+
113	1	154975127	ENSG00000160685	ZBTB7B	+
113	1	154990996	ENSG00000163354	DCST2	-
113	1	155006300	ENSG00000163357	DCST1	+
113	1	155017667	ENSG00000232093	RP11-307C12.11	-
113	1	155023042	ENSG00000143537	ADAM15	+
113	1	155036207	ENSG00000243364	EFNA4	+
113	1	155036224	ENSG00000143590	EFNA3	+
113	1	155099936	ENSG00000169242	EFNA1	+
113	1	155107820	ENSG00000169241	SLC50A1	+
113	1	155112367	ENSG00000179085	DPM3	-
113	1	155141884	ENSG00000163463	KRTCAP2	-
113	1	155145873	ENSG00000163462	TRIM46	+
113	1	155158300	ENSG00000185499	MUC1	-
113	1	155165379	ENSG00000169231	THBS3	-
113	1	155166659	ENSG00000231064	RP11-263K19.4	+
113	1	155178490	ENSG00000173171	MTX1	+
113	1	155180942	ENSG00000236263	RP11-263K19.6	-
113	1	155183616	ENSG00000160766	GBAP1	-
113	1	155200766	ENSG00000236675	MTX1P1	+
113	1	155204243	ENSG00000177628	GBA	-
113	1	155216996	ENSG00000160767	FAM189B	-
113	1	155225770	ENSG00000116521	SCAMP3	-
113	1	155232659	ENSG00000176444	CLK2	-
113	1	155247374	ENSG00000143630	HCN3	+
113	1	155278539	ENSG00000160752	FDPS	+
113	1	155286654	ENSG00000225855	RUSC1-AS1	-
113	1	155290687	ENSG00000160753	RUSC1	+
113	1	155305059	ENSG00000116539	ASH1L	-
113	1	155531821	ENSG00000235919	ASH1L-AS1	+
113	1	155535841	ENSG00000271267	RP11-29H23.7	-
113	1	155579979	ENSG00000125459	MSTO1	+
113	1	155581011	ENSG00000203761	MSTO2P	+
113	1	155584517	ENSG00000246203	RP11-29H23.5	-
113	1	155629237	ENSG00000163374	YY1AP1	-
113	1	155657751	ENSG00000132676	DAP3	+
113	1	155719508	ENSG00000116580	GON4L	-
113	1	155829300	ENSG00000132718	SYT11	+
113	1	155867599	ENSG00000143622	RIT1	-
113	1	155882834	ENSG00000132680	KIAA0907	-
113	1	155911480	ENSG00000173080	RXFP4	+
113	1	155916630	ENSG00000116584	ARHGEF2	-
113	1	155948590	ENSG00000273002	RP11-336K24.12	+
113	1	155978839	ENSG00000163479	SSR2	-
113	1	156005092	ENSG00000160803	UBQLN4	-
113	1	156024543	ENSG00000116586	LAMTOR2	+
113	1	156030951	ENSG00000132698	RAB25	+
113	1	156041804	ENSG00000254726	MEX3A	-
113	1	156052364	ENSG00000160789	LMNA	+
113	1	156117157	ENSG00000196189	SEMA4A	+
113	1	156163880	ENSG00000160785	SLC25A44	+
113	1	156182784	ENSG00000160783	PMF1	+
113	1	156211753	ENSG00000242252	BGLAP	+
113	1	156213206	ENSG00000160781	PAQR6	-
113	1	156219015	ENSG00000198952	SMG5	-
113	1	156252726	ENSG00000163472	TMEM79	+
113	1	156259880	ENSG00000198715	C1orf85	-
113	1	156278759	ENSG00000163468	CCT3	-
113	1	156307105	ENSG00000163467	TSACC	+
113	1	156433519	ENSG00000116604	MEF2D	-
113	1	156479646	ENSG00000260460	RP11-284F21.8	+
113	1	156495197	ENSG00000183856	IQGAP3	-
113	1	156549519	ENSG00000187862	TTC24	+
113	1	156561554	ENSG00000163382	APOA1BP	+
113	1	156564279	ENSG00000160818	GPATCH4	-
113	1	156584534	ENSG00000272971	RP11-284F21.11	-
113	1	156589086	ENSG00000132702	HAPLN2	+
113	1	156607575	ENSG00000272068	RP11-284F21.9	-
113	1	156611182	ENSG00000132692	BCAN	+
113	1	156611458	ENSG00000272405	RP11-284F21.10	-
113	1	156616299	ENSG00000229953	RP11-284F21.7	-
113	1	156638555	ENSG00000132688	NES	-
113	1	156669398	ENSG00000143320	CRABP2	-
113	1	156682004	ENSG00000223356	RP11-66D17.5	-
113	1	156691683	ENSG00000143319	ISG20L2	-
113	1	156698234	ENSG00000143303	RRNAD1	+
113	1	156707095	ENSG00000143314	MRPL24	-
113	1	156711899	ENSG00000143321	HDGF	-
113	1	156720402	ENSG00000143294	PRCC	+
113	1	156776035	ENSG00000027869	SH2D2A	-
113	1	156785432	ENSG00000198400	NTRK1	+
113	1	156809855	ENSG00000027644	INSRR	-
267	2	60678302	ENSG00000119866	BCL11A	-
347	2	161993419	ENSG00000136560	TANK	+
347	2	162079296	ENSG00000235724	AC009299.2	-
347	2	162101250	ENSG00000227403	AC009299.3	+
347	2	162164549	ENSG00000115233	PSMD14	+
347	2	162197325	ENSG00000232320	AC009299.5	-
347	2	162357396	ENSG00000226121	AHCTF1P1	-
347	2	162848751	ENSG00000197635	DPP4	-
347	2	163016272	ENSG00000236841	AC007750.5	+
347	2	163027194	ENSG00000078098	FAP	-
347	2	163123589	ENSG00000115267	IFIH1	-
347	2	163175350	ENSG00000115271	GCA	+
347	2	163227917	ENSG00000184611	KCNH7	-
1841	12	111798455	ENSG00000198324	FAM109A	-
1841	12	111807086	ENSG00000257595	RP3-473L9.4	+
1841	12	111843752	ENSG00000111252	SH2B3	+
1841	12	111890018	ENSG00000204842	ATXN2	-
1841	12	112037302	ENSG00000258099	RP11-686G8.2	+
1841	12	112079950	ENSG00000089234	BRAP	-
1841	12	112107656	ENSG00000258359	PCNPP1	-
1841	12	112123857	ENSG00000111271	ACAD10	+
1841	12	112204691	ENSG00000111275	ALDH2	+
1841	12	112277571	ENSG00000234608	MAPKAPK5-AS1	-
1841	12	112279782	ENSG00000089022	MAPKAPK5	+
1841	12	112364822	ENSG00000226469	ADAM1B	+
1841	12	112369086	ENSG00000198270	TMEM116	-
1841	12	112451120	ENSG00000089248	ERP29	+
1841	12	112464500	ENSG00000111300	NAA25	-
1841	12	112563305	ENSG00000135148	TRAFD1	+
1841	12	112597992	ENSG00000173064	HECTD4	-
1841	12	112739674	ENSG00000213152	RPL7AP60	-
1841	12	112842994	ENSG00000089009	RPL6	-
1841	12	112856155	ENSG00000179295	PTPN11	+
1841	12	113344582	ENSG00000089127	OAS1	+
1841	12	113376157	ENSG00000111331	OAS3	+
1841	12	113416200	ENSG00000111335	OAS2	+
1841	12	113494514	ENSG00000135144	DTX1	+
1841	12	113536624	ENSG00000111344	RASAL1	-
1841	12	113594979	ENSG00000123064	DDX54	-
1841	12	113623331	ENSG00000139405	C12orf52	+
1841	12	113633246	ENSG00000166578	IQCD	-
1841	12	113658855	ENSG00000186815	TPCN1	+
1841	12	113736564	ENSG00000089060	SLC8B1	-
1841	12	113796371	ENSG00000151176	PLBD2	+
1841	12	113830250	ENSG00000135094	SDS	-
1841	12	113860042	ENSG00000139410	SDSL	+
2318	19	10070237	ENSG00000080573	COL5A3	-
2318	19	10106673	ENSG00000267650	CTD-2553C6.1	+
2318	19	10196798	ENSG00000130813	C19orf66	+
2318	19	10199708	ENSG00000267387	CTD-2240E14.4	-
2318	19	10203014	ENSG00000130812	ANGPTL6	-
2318	19	10216965	ENSG00000130810	PPAN	+
2318	19	10222214	ENSG00000244165	P2RY11	+
2318	19	10225693	ENSG00000130811	EIF3G	-
2318	19	10244021	ENSG00000130816	DNMT1	-
2318	19	10334520	ENSG00000267534	S1PR2	-
2318	19	10362577	ENSG00000105364	MRPL4	+
2318	19	10381511	ENSG00000090339	ICAM1	+
2318	19	10400657	ENSG00000105376	ICAM5	+
2318	19	10415479	ENSG00000220201	ZGLP1	-
2318	19	10416103	ENSG00000267673	FDX1L	-
2318	19	10426888	ENSG00000161847	RAVER1	-
2318	19	10444452	ENSG00000076662	ICAM3	-
2318	19	10461209	ENSG00000105397	TYK2	-
2318	19	10501810	ENSG00000105401	CDC37	-
2318	19	10527449	ENSG00000065989	PDE4A	+
2318	19	10596796	ENSG00000079999	KEAP1	-
2318	19	10601015	ENSG00000267197	CTC-429L19.3	-
2318	19	10623623	ENSG00000180739	S1PR5	-
2318	19	10654571	ENSG00000130734	ATG4D	+
2318	19	10663761	ENSG00000129347	KRI1	-
2318	19	10677138	ENSG00000129355	CDKN2D	-
2318	19	10683347	ENSG00000129354	AP1M2	-
2318	19	10713133	ENSG00000129353	SLC44A2	+
2318	19	10762538	ENSG00000267100	ILF3-AS1	-
2318	19	10764937	ENSG00000129351	ILF3	+
2318	19	10812106	ENSG00000213339	QTRT1	+
2318	19	10828755	ENSG00000079805	DNM2	+
2318	19	10943114	ENSG00000099203	TMED1	-
2318	19	10947251	ENSG00000214212	C19orf38	+
