outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
psa	Skin_Not_Sun_Exposed_Suprapubic	IFNLR1	ENSG00000185436	26	1:23907046-25885138	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4634	4993	3353	3353	26351	0.192212819247846	517	PASS	9.21223399670285e-23	3.54401472926439e-19	0.000186799095107336	0.718348505744795	0.281464695160099	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	IFNLR1	ENSG00000185436	26	1:23907046-25885138	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4634	4993	3353	3353	26351	0.192212819247846	605	PASS	6.11974772849302e-36	2.35431071041692e-32	0.000187828412170447	0.722311831953617	0.277500339634209	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Cells_EBV-transformed_lymphocytes	SLC22A5	ENSG00000197375	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2664	3995	2079	2079	26351	0.192212819247846	147	PASS	1.93567660695212e-17	0.000662610285523841	1.92515789594788e-15	0.0649665869569736	0.934370802757502	Restricted coloc completed.	coloc_supported_PP4_ge_0p8
psa	Skin_Sun_Exposed_Lower_leg	SLC22A5	ENSG00000197375	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2675	3995	2092	2092	26351	0.192212819247846	605	PASS	1.3351662314828e-79	4.57046840720441e-66	6.96308147784566e-15	0.237594011068886	0.762405988931102	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
psa	Spleen	SLC22A5	ENSG00000197375	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2675	3995	2092	2092	26351	0.192212819247846	227	PASS	2.37796029608819e-33	8.14010431854296e-20	8.78571298181906e-16	0.0291038785930535	0.970896121406947	Restricted coloc completed.	coloc_supported_PP4_ge_0p8
psa	Cells_EBV-transformed_lymphocytes	PDLIM4	ENSG00000131435	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2899	3995	2235	2235	26351	0.192212819247846	147	PASS	2.74716370533988e-16	0.00940394134404253	2.87239366158983e-14	0.983254830519589	0.0073412281363397	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	PDLIM4	ENSG00000131435	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2913	3995	2252	2252	26351	0.192212819247846	517	PASS	1.50859322216598e-25	5.16413424714847e-12	2.92117542473605e-14	0.999960840364208	3.9159630601592e-05	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	PDLIM4	ENSG00000131435	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2913	3995	2251	2251	26351	0.192212819247846	605	PASS	3.35515447571083e-37	1.14851822730596e-23	2.92128963529466e-14	0.9999999754356	2.45643773977668e-08	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	CDC42SE2	ENSG00000158985	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3743	3995	1482	1482	26351	0.192212819247846	517	PASS	1.12591846519423e-07	0.00504818943883635	2.18357522893396e-05	0.979016027675317	0.015913834541711	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	CDC42SE2	ENSG00000158985	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3743	3995	1482	1482	26351	0.192212819247846	605	PASS	1.9122669910157e-10	8.57387664089472e-06	2.22976590439646e-05	0.999741853312532	0.000227274960556061	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Not_Sun_Exposed_Suprapubic	C5orf56	ENSG00000197536	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2610	3995	2051	2051	26351	0.192212819247846	517	PASS	3.71448918605662e-18	0.000127152373041464	2.76932809625536e-14	0.947929384605116	0.0519434630218174	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	C5orf56	ENSG00000197536	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2610	3995	2050	2050	26351	0.192212819247846	227	PASS	1.41788078142969e-17	0.00048536123547062	2.91879016885987e-14	0.999144001013054	0.000370637751447845	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Whole_Blood	C5orf56	ENSG00000197536	887	5:130573818-132554690	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	2610	3995	2051	2051	26351	0.192212819247846	670	PASS	2.43261341248651e-24	8.3271898933303e-11	2.92128968775006e-14	0.999999993352716	6.56398538340397e-09	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Cells_EBV-transformed_lymphocytes	C6orf3	ENSG00000255389	1041	6:111363444-112342873	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3071	2511	1705	1705	26351	0.192212819247846	147	PASS	1.06862652149466e-36	0.427880081805486	1.24720970901936e-36	0.499312320498694	0.0728075976958145	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Skin_Sun_Exposed_Lower_leg	C6orf3	ENSG00000255389	1041	6:111363444-112342873	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3075	2511	1707	1707	26351	0.192212819247846	605	PASS	3.58868201896321e-79	1.43691507272359e-43	2.49749069175053e-36	1	2.78352087247578e-28	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Spleen	C6orf3	ENSG00000255389	1041	6:111363444-112342873	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3075	2511	1705	1705	26351	0.192212819247846	227	PASS	1.72665501085437e-50	6.91355934401552e-15	2.49749069175021e-36	0.999999999999886	1.06560001955717e-13	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
psa	Cells_EBV-transformed_lymphocytes	RP11-977G19.11	ENSG00000257303	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4175	3524	2036	2036	26351	0.192212819247846	147	PASS	4.38040645047657e-27	2.6144132409116e-05	9.29373307116385e-24	0.0545235091515641	0.945450346716023	Restricted coloc completed.	coloc_supported_PP4_ge_0p8
psa	Skin_Not_Sun_Exposed_Suprapubic	RP11-977G19.11	ENSG00000257303	1793	12:55416803-56987105	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4188	3524	2037	2037	26351	0.192212819247846	517	PASS	4.46268386724342e-40	2.6635199094948e-18	3.64250543666541e-23	0.216616863881474	0.783383136118531	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
