outcome	tissue	gene	gene_id	locus	region	phase4br_tier	local_direction_group	phase4c_eqtl_gene_tier	n_eqtl_variants	n_gwas_variants	n_matched_variants	nsnps	gwas_n	gwas_case_fraction	eqtl_n	status	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf	note	interpretation_tier
cad	Skin_Not_Sun_Exposed_Suprapubic	MEX3A	ENSG00000254726	113	1:154685546-156813845	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3776	3715	2486	2486	547261	0.2242677625484	517	PASS	1.69909460113786e-06	2.33472344953785e-07	0.356530089063184	0.048395675996408	0.595072302373462	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
cad	Skin_Sun_Exposed_Lower_leg	MEX3A	ENSG00000254726	113	1:154685546-156813845	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3776	3715	2495	2495	547261	0.2242677625484	605	PASS	2.59435873266371e-16	3.56577452847193e-17	0.354912146562556	0.0481834232910978	0.596904430146344	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
cad	Skin_Not_Sun_Exposed_Suprapubic	UBQLN4	ENSG00000160803	113	1:154685546-156813845	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3827	3715	2527	2527	547261	0.2242677625484	517	PASS	5.71363046722509e-06	7.9332829248696e-07	0.223812274090956	0.0303301189440337	0.745851100006251	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
cad	Skin_Sun_Exposed_Lower_leg	UBQLN4	ENSG00000160803	113	1:154685546-156813845	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3827	3715	2536	2536	547261	0.2242677625484	605	PASS	1.7945712013522e-06	2.49233465293713e-07	0.216362280819823	0.02929446430132	0.75434121107419	Restricted coloc completed.	suggestive_PP4_0p5_to_0p8
cad	Skin_Not_Sun_Exposed_Suprapubic	AC007381.3	ENSG00000228590	267	2:59251997-60775066	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4492	4435	3242	3242	547261	0.2242677625484	517	PASS	0.00207413219270707	0.00379075812067949	0.324556004749554	0.593093667818113	0.0764854371189464	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
cad	Skin_Sun_Exposed_Lower_leg	AC007381.3	ENSG00000228590	267	2:59251997-60775066	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	4492	4435	3244	3244	547261	0.2242677625484	605	PASS	1.81898522704946e-05	3.36572035894667e-05	0.312147862570995	0.577465777945094	0.11033451242805	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
cad	Artery_Aorta	TMEM116	ENSG00000198270	1841	12:111592382-113947983	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3042	3996	1981	1981	547261	0.2242677625484	387	PASS	9.63054083196264e-25	2.5028728587857e-08	3.84779453126393e-17	0.999999965363259	9.60801114909573e-09	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
cad	Artery_Coronary	TMEM116	ENSG00000198270	1841	12:111592382-113947983	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3042	3996	1981	1981	547261	0.2242677625484	213	PASS	1.00156304262755e-21	2.60295345764548e-05	3.84768454045998e-17	0.99997137736564	2.59309978052019e-06	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
cad	Artery_Tibial	TMEM116	ENSG00000198270	1841	12:111592382-113947983	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3042	3996	1981	1981	547261	0.2242677625484	584	PASS	2.01592086023202e-43	5.23915914440538e-27	3.84779466448434e-17	0.999999999995396	4.60620006423103e-12	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
cad	Whole_Blood	TMEM116	ENSG00000198270	1841	12:111592382-113947983	Tier 1	positive_local_rg	A_local_Tier1_recurrent_SMR2	3042	3996	1981	1981	547261	0.2242677625484	670	PASS	4.8988047834432e-29	1.2731461033088e-12	3.84779466447453e-17	0.999999999992838	5.89357624442761e-12	Restricted coloc completed.	distinct_signal_PP3_gt_PP4
