phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome
cad	psoriasis	-0.0452099	NA	NA	0.00204394	NA	NA	NA	3	1	2215496	2983519	cad	0.0134159	3.45531e-09	0.000346478	0.000197052
cad	psoriasis	0.176638	NA	NA	0.0312009	NA	NA	NA	4	1	2983520	3582047	cad	0.00632578	1.71506e-11	0.00045279	0.000258157
cad	psoriasis	-0.332649	NA	NA	0.110656	NA	NA	NA	5	1	3582048	4281476	cad	0.00595138	0.0445259	0.00042263	5.05443e-05
cad	psoriasis	-0.730059	NA	NA	0.532986	NA	NA	NA	6	1	4281477	4773403	cad	0.0478747	0.00245603	0.00027493	9.25688e-05
cad	psoriasis	0.270497	NA	NA	0.0731684	NA	NA	NA	8	1	5362405	6136814	cad	7.46135e-06	0.00116961	0.000818303	0.000102843
cad	psoriasis	0.0830298	NA	NA	0.00689394	NA	NA	NA	10	1	7711795	8580987	cad	4.24889e-14	0.000303553	0.00141772	0.000103631
cad	psoriasis	0.0679048	NA	NA	0.00461107	NA	NA	NA	11	1	8580988	9475966	cad	1.95361e-06	0.00147528	0.000913953	0.00010336
cad	psoriasis	0.0244453	NA	NA	0.000597572	NA	NA	NA	12	1	9475967	10753427	cad	0.000149536	0.0415201	0.00062155	5.03779e-05
cad	psoriasis	0.277461	NA	NA	0.0769845	NA	NA	NA	13	1	10753428	11709173	cad	4.81978e-05	0.0495044	0.000713368	5.04225e-05
cad	psoriasis	0.119858	NA	NA	0.0143659	NA	NA	NA	14	1	11709174	13481025	cad	1.25653e-13	0.000866443	0.00171887	0.000117276
cad	psoriasis	0.274345	NA	NA	0.0752653	NA	NA	NA	16	1	14720132	15755230	cad	0.00953292	0.00122199	0.000501753	0.000124288
cad	psoriasis	0.364403	NA	NA	0.13279	NA	NA	NA	19	1	17557747	18427820	cad	1.152e-07	3.3816e-05	0.00103456	0.000142886
cad	psoriasis	0.374534	NA	NA	0.140276	NA	NA	NA	20	1	18427821	19238924	cad	0.000914296	6.67888e-06	0.000669914	0.000182239
