phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	outcome
psoriasis	0.000458192	0.0016028	FALSE	0.00033704	1	1	10539	1376204	cad
cad	8.98012e-06	1.74332e-05	FALSE	0.30659	1	1	10539	1376204	cad
psoriasis	0.000102982	0.000360242	FALSE	0.173311	2	1	1376205	2215495	cad
cad	0.000112046	0.000217516	FALSE	5.37107e-06	2	1	1376205	2215495	cad
psoriasis	0.000346478	0.00121201	FALSE	0.0134159	3	1	2215496	2983519	cad
cad	0.000197052	0.000382539	FALSE	3.45531e-09	3	1	2215496	2983519	cad
psoriasis	0.00045279	0.0015839	FALSE	0.00632578	4	1	2983520	3582047	cad
cad	0.000258157	0.000501163	FALSE	1.71506e-11	4	1	2983520	3582047	cad
psoriasis	0.00042263	0.0014784	FALSE	0.00595138	5	1	3582048	4281476	cad
cad	5.05443e-05	9.81223e-05	FALSE	0.0445259	5	1	3582048	4281476	cad
psoriasis	0.00027493	0.000961732	FALSE	0.0478747	6	1	4281477	4773403	cad
cad	9.25688e-05	0.000179705	FALSE	0.00245603	6	1	4281477	4773403	cad
psoriasis	6.70564e-05	0.00023457	FALSE	0.331782	7	1	4773404	5362404	cad
cad	3.81168e-05	7.39966e-05	FALSE	0.114709	7	1	4773404	5362404	cad
psoriasis	0.000818303	0.0028625	FALSE	7.46135e-06	8	1	5362405	6136814	cad
cad	0.000102843	0.00019965	FALSE	0.00116961	8	1	5362405	6136814	cad
psoriasis	0.000303114	0.00106032	FALSE	0.0681924	9	1	6136815	7711794	cad
cad	0.000126629	0.000245827	FALSE	0.000928137	9	1	6136815	7711794	cad
psoriasis	0.00141772	0.00495931	FALSE	4.24889e-14	10	1	7711795	8580987	cad
cad	0.000103631	0.000201181	FALSE	0.000303553	10	1	7711795	8580987	cad
psoriasis	0.000913953	0.0031971	FALSE	1.95361e-06	11	1	8580988	9475966	cad
cad	0.00010336	0.000200655	FALSE	0.00147528	11	1	8580988	9475966	cad
psoriasis	0.00062155	0.00217424	FALSE	0.000149536	12	1	9475967	10753427	cad
cad	5.03779e-05	9.77992e-05	FALSE	0.0415201	12	1	9475967	10753427	cad
psoriasis	0.000713368	0.00249543	FALSE	4.81978e-05	13	1	10753428	11709173	cad
cad	5.04225e-05	9.78859e-05	FALSE	0.0495044	13	1	10753428	11709173	cad
psoriasis	0.00171887	0.00601279	FALSE	1.25653e-13	14	1	11709174	13481025	cad
cad	0.000117276	0.000227669	FALSE	0.000866443	14	1	11709174	13481025	cad
psoriasis	0.000796805	0.0027873	FALSE	7.97731e-05	15	1	13481026	14720131	cad
cad	4.54425e-05	8.8218e-05	FALSE	0.102551	15	1	13481026	14720131	cad
psoriasis	0.000501753	0.00175518	FALSE	0.00953292	16	1	14720132	15755230	cad
cad	0.000124288	0.000241281	FALSE	0.00122199	16	1	14720132	15755230	cad
psoriasis	0.000173763	0.000607838	FALSE	0.0850752	17	1	15755231	16732168	cad
cad	4.24258e-05	8.23618e-05	FALSE	0.0413984	17	1	15755231	16732168	cad
psoriasis	0.000131154	0.000458788	FALSE	0.130054	18	1	16732169	17557746	cad
cad	5.64667e-05	0.00010962	FALSE	0.00853575	18	1	16732169	17557746	cad
psoriasis	0.00103456	0.003619	FALSE	1.152e-07	19	1	17557747	18427820	cad
cad	0.000142886	0.000277386	FALSE	3.3816e-05	19	1	17557747	18427820	cad
psoriasis	0.000669914	0.00234342	FALSE	0.000914296	20	1	18427821	19238924	cad
cad	0.000182239	0.000353783	FALSE	6.67888e-06	20	1	18427821	19238924	cad
