locus	chr	start	stop	outcome	status
1	1	10539	1376204	cad	OK
2	1	1376205	2215495	cad	OK
3	1	2215496	2983519	cad	OK
4	1	2983520	3582047	cad	OK
5	1	3582048	4281476	cad	OK
6	1	4281477	4773403	cad	OK
7	1	4773404	5362404	cad	OK
8	1	5362405	6136814	cad	OK
9	1	6136815	7711794	cad	OK
10	1	7711795	8580987	cad	OK
11	1	8580988	9475966	cad	OK
12	1	9475967	10753427	cad	OK
13	1	10753428	11709173	cad	OK
14	1	11709174	13481025	cad	OK
15	1	13481026	14720131	cad	OK
16	1	14720132	15755230	cad	OK
17	1	15755231	16732168	cad	OK
18	1	16732169	17557746	cad	OK
19	1	17557747	18427820	cad	OK
20	1	18427821	19238924	cad	OK
