phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome	fdr_within_outcome	direction	pair_scope
cad	psoriasis	-0.0452099	-0.68048	0.54136	0.00204394	0	0.58006	0.859865	3	1	2215496	2983519	cad	0.0134159	3.45531e-09	0.000346478	0.000197052	0.931520416666667	negative	primary_systemic
cad	psoriasis	0.176638	-0.2894	0.74754	0.0312009	0	0.57316	0.434256	4	1	2983520	3582047	cad	0.00632578	1.71506e-11	0.00045279	0.000258157	0.705666	positive	primary_systemic
cad	psoriasis	-0.332649	-1	0.59812	0.110656	0	1	0.40675	5	1	3582048	4281476	cad	0.00595138	0.0445259	0.00042263	5.05443e-05	0.705666	negative	primary_systemic
cad	psoriasis	-0.730059	-1	0.01621	0.532986	0	1	0.0583284	6	1	4281477	4773403	cad	0.0478747	0.00245603	0.00027493	9.25688e-05	0.4370509	negative	primary_systemic
cad	psoriasis	0.270497	-0.23415	0.86899	0.0731684	0	0.75929	0.263131	8	1	5362405	6136814	cad	7.46135e-06	0.00116961	0.000818303	0.000102843	0.705666	positive	primary_systemic
cad	psoriasis	0.0830298	-0.3079	0.50202	0.00689394	0	0.26387	0.662934	10	1	7711795	8580987	cad	4.24889e-14	0.000303553	0.00141772	0.000103631	0.8618142	positive	primary_systemic
cad	psoriasis	0.0679048	-0.4772	0.60701	0.00461107	0	0.42675	0.774061	11	1	8580988	9475966	cad	1.95361e-06	0.00147528	0.000913953	0.00010336	0.914799363636364	positive	primary_systemic
cad	psoriasis	0.0244453	-0.89888	0.95353	0.000597572	0	1	0.943074	12	1	9475967	10753427	cad	0.000149536	0.0415201	0.00062155	5.03779e-05	0.943074	positive	primary_systemic
cad	psoriasis	0.277461	-0.47386	1	0.0769845	0	1	0.411687	13	1	10753428	11709173	cad	4.81978e-05	0.0495044	0.000713368	5.04225e-05	0.705666	positive	primary_systemic
cad	psoriasis	0.119858	-0.28032	0.54714	0.0143659	0	0.30701	0.531412	14	1	11709174	13481025	cad	1.25653e-13	0.000866443	0.00171887	0.000117276	0.767595111111111	positive	primary_systemic
cad	psoriasis	0.274345	-0.39453	1	0.0752653	0	1	0.373257	16	1	14720132	15755230	cad	0.00953292	0.00122199	0.000501753	0.000124288	0.705666	positive	primary_systemic
cad	psoriasis	0.364403	-0.02547	0.81531	0.13279	0	0.66472	0.0672386	19	1	17557747	18427820	cad	1.152e-07	3.3816e-05	0.00103456	0.000142886	0.4370509	positive	primary_systemic
cad	psoriasis	0.374534	-0.09569	0.99475	0.140276	0	0.98954	0.108283	20	1	18427821	19238924	cad	0.000914296	6.67888e-06	0.000669914	0.000182239	0.469226333333333	positive	primary_systemic
