outcome	pair_scope	locus	chr	start	stop	rho	se_approx	z_approx	p	fdr_within_outcome	fdr_all_tests	direction	h2_psoriasis	h2_outcome	univ_p_psoriasis	univ_p_outcome	outcome_label	locus_label	show_text
cad	primary_systemic	347	2	161432090	163607635	0.650751	0.119558006882484	5.44297297160229	5.23986e-8	6.1830348e-6	8.16681456e-7	positive	0.00495075	1.8963e-4	1.99414e-67	4.67602e-8	CAD	L347 chr2:161.4-163.6Mb	0.65
cad	primary_systemic	1215	7	138755108	140217630	0.840885	0.173326929505378	4.85143885257546	1.22569e-6	7.231571e-5	1.530135580645161e-5	positive	0.0010378	2.57363e-4	1.0113e-6	8.60972e-10	CAD	L1215 chr7:138.8-140.2Mb	0.84
cad	primary_systemic	1841	12	111592382	113947983	0.605075	0.130195319540991	4.64744049273979	3.36079e-6	1.3219107333333e-4	3.6128492499999994e-5	positive	0.00156785	3.40963e-4	1.63386e-13	1.02772e-16	CAD	L1841 chr12:111.6-113.9Mb	0.61
cad	primary_systemic	267	2	59251997	60775066	0.560739	0.138773025300217	4.04069161702655	5.32938e-5	0.0015721671	4.5832668e-4	positive	0.00132195	3.87675e-4	4.50952e-9	7.00011e-17	CAD	L267 chr2:59.3-60.8Mb	0.56
cad	primary_systemic	113	1	154685546	156813845	0.631202	0.1585048698509	3.98222465084985	6.82732e-5	0.00161124752	5.6216443404255e-4	positive	0.00142872	2.41219e-4	4.94652e-10	1.14644e-8	CAD	L113 chr1:154.7-156.8Mb	0.63
cad	primary_systemic	2318	19	10028841	11681978	0.178628	0.0593789878433719	3.00826953250162	0.0026274	0.02583609999999999	0.01196239764705882	positive	0.00722254	0.00106526	1.28165e-97	1.06178e-70	CAD	L2318 chr19:10-11.7Mb	0.18
cad	primary_systemic	1559	10	79952997	81190573	-0.13054	0.11177063398427	1.16792752574323	0.242836	0.4297542388059702	0.3948635798319328	negative	0.00298227	3.44584e-4	7.558279999999999e-27	3.65991e-13	CAD	L1559 chr10:80-81.2Mb	
crohn	qc_flagged_ibd	57	1	66778016	67761890	-0.534925	0.0544058518527784	9.83212249754863	8.18747e-23	1.07255857e-20	7.921377225e-21	negative	0.00521621	0.0276692	2.52945e-81	3.3112899999999994e-199	Crohn	L57 chr1:66.8-67.8Mb	-0.53
crohn	qc_flagged_ibd	887	5	130573818	132554690	-0.642693	0.0875144300817403	7.34385174421763	2.07533e-13	1.35934115e-11	6.6929392499999995e-12	negative	0.00362657	0.00664787	7.56973e-50	4.57623e-33	Crohn	L887 chr5:130.6-132.6Mb	-0.64
crohn	qc_flagged_ibd	908	5	158484776	159663733	0.381768	0.0549082579001584	6.952833956127	3.5802e-12	1.563354e-10	1.065798e-10	positive	0.0266355	0.00958946	0	6.38918e-46	Crohn	L908 chr5:158.5-159.7Mb	0.38
crohn	qc_flagged_ibd	1082	6	158952061	159604052	-0.945307	0.142232394978391	6.64621445869361	3.00727e-11	9.848809250000001e-10	7.7587566e-10	negative	0.00187582	0.0026425900000000002	4.89655e-22	5.53543e-10	Crohn	L1082 chr6:159-159.6Mb	-0.95
crohn	qc_flagged_ibd	1559	10	79952997	81190573	-0.625949	0.10976138333835	5.70281624522215	1.17844e-8	3.0875128e-7	2.1716965714285714e-7	negative	0.00278524	0.00552725	2.22482e-24	6.84405e-17	Crohn	L1559 chr10:80-81.2Mb	-0.63
crohn	qc_flagged_ibd	2251	18	12735559	13641479	-0.658624	0.11676264015121	5.64070835626078	1.69352e-8	3.697518666666667e-7	2.979055636363636e-7	negative	0.00224055	0.0046242	1.43673e-22	7.98317e-17	Crohn	L2251 chr18:12.7-13.6Mb	-0.66
crohn	qc_flagged_ibd	26	1	23907046	25885138	0.518015	0.110416332740512	4.69147079189253	2.71248e-6	3.5533488e-5	3.0874404705882355e-5	positive	0.00700598	0.00299713	1.4791499999999998e-93	1.11774e-7	Crohn	L26 chr1:23.9-25.9Mb	0.52
crohn	qc_flagged_ibd	2318	19	10028841	11681978	-0.228264	0.0804411530200739	2.83765201554281	0.00454467	0.01452077487804878	0.0183593203125	negative	0.00698949	0.00617432	2.64956e-94	7.70688e-22	Crohn	L2318 chr19:10-11.7Mb	-0.23
crohn	qc_flagged_ibd	113	1	154685546	156813845	0.345449	0.137132851074451	2.51908275291711	0.0117661	0.03425242444444444	0.03959548434782609	positive	0.00140234	0.00492	6.99071e-10	1.4118e-15	Crohn	L113 chr1:154.7-156.8Mb	0.35
crohn	qc_flagged_ibd	2203	17	37361179	38880481	-0.31598	0.151071263051074	2.09159567225683	0.0364747	0.08499647719298245	0.09940640070422536	negative	9.35863e-4	0.00421742	5.82674e-8	3.66564e-17	Crohn	L2203 chr17:37.4-38.9Mb	
