phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	outcome	univ_p_psoriasis	univ_p_outcome	h2_psoriasis	h2_outcome	fdr_within_outcome	z_approx	se_approx	direction	pair_scope
psa	psoriasis	0.944787	NA	NA	0.892623	NA	NA	9.90536e-87	908	5	158484776	159663733	psa	0	1.55217e-73	0.0264938	0.020689	3.962144e-85	19.7393450580278	0.047863138175183	positive	positive_control_near_neighbor
psa	psoriasis	0.740363	NA	NA	0.548138	NA	NA	1.63648e-18	57	1	66778016	67761890	psa	1.32032e-83	1.21481e-32	0.0053474	0.00999499	1.309184e-17	8.77988080198048	0.0843249489028366	positive	positive_control_near_neighbor
psa	psoriasis	1	NA	NA	1	NA	NA	6.3568e-28	1041	6	111363444	112342873	psa	3.80085e-82	1.20816e-22	0.00523373	0.00750383	1.27136e-26	10.9540123449207	0.0912907497738667	positive	positive_control_near_neighbor
psa	psoriasis	0.753912	NA	NA	0.568383	NA	NA	3.24703e-20	26	1	23907046	25885138	psa	7.16171e-95	2.93712e-23	0.00710561	0.0100053	4.32937333333333e-19	9.21046902421083	0.0818538120065603	positive	positive_control_near_neighbor
psa	psoriasis	0.69274	NA	NA	0.479889	NA	NA	8.5504e-10	1733	11	128262551	129451784	psa	3.33001e-25	3.29722e-19	0.00262663	0.00843493	2.63089230769231e-09	6.13435758572912	0.11292788043716	positive	positive_control_near_neighbor
psa	psoriasis	0.807433	NA	NA	0.651949	NA	NA	2.06446e-13	887	5	130573818	132554690	psa	5.78974e-49	1.2929e-16	0.00357728	0.00606813	9.17537777777778e-13	7.34455421565416	0.109936284257939	positive	positive_control_near_neighbor
psa	psoriasis	0.815946	NA	NA	0.665768	NA	NA	1.04082e-15	2195	17	25872111	27344401	psa	2.35407e-68	3.27055e-16	0.0049298	0.00661275	5.94754285714286e-15	8.02194706070526	0.101714209010034	positive	positive_control_near_neighbor
psa	psoriasis	0.847701	NA	NA	0.718597	NA	NA	3.43009e-14	347	2	161432090	163607635	psa	1.5363e-71	2.48993e-12	0.00513482	0.00536171	1.715045e-13	7.58095937538088	0.111819752359168	positive	positive_control_near_neighbor
psa	psoriasis	0.582144	NA	NA	0.338892	NA	NA	9.73766e-05	53	1	61377616	62778733	psa	2.07455e-09	7.21325e-13	0.00140672	0.00679789	0.000177048363636364	3.89703736516332	0.149381169707005	positive	positive_control_near_neighbor
psa	psoriasis	0.723031	NA	NA	0.522774	NA	NA	3.05252e-09	1063	6	137553213	138825721	psa	1.35426e-57	5.62192e-09	0.00477569	0.00493929	8.72148571428572e-09	5.92874860445135	0.121953391556718	positive	positive_control_near_neighbor
psa	psoriasis	0.939633	NA	NA	0.882911	NA	NA	3.44427e-16	899	5	149850204	150981934	psa	1.34618e-87	6.98253e-09	0.00635625	0.00471979	2.29618e-15	8.15665619647464	0.115198308886197	positive	positive_control_near_neighbor
psa	psoriasis	0.902172	NA	NA	0.813914	NA	NA	1.10843e-10	854	5	95117260	96467377	psa	3.80354e-31	1.82236e-08	0.00284677	0.00433495	3.69476666666667e-10	6.45137069668002	0.139841909947024	positive	positive_control_near_neighbor
psa	psoriasis	0.921791	NA	NA	0.849699	NA	NA	2.14477e-11	1793	12	55416803	56987105	psa	1.62116e-39	1.15773e-08	0.00314683	0.00394113	8.57908e-11	6.69581221442351	0.137666793882654	positive	positive_control_near_neighbor
psa	psoriasis	0.930798	NA	NA	0.866385	NA	NA	7.90775e-20	2318	19	10028841	11681978	psa	3.77904e-98	7.23944e-12	0.00725078	0.00620076	7.90775e-19	9.11444041258208	0.102123439055575	positive	positive_control_near_neighbor
psa	psoriasis	0.569345	NA	NA	0.324154	NA	NA	2.55358e-05	2450	21	35729262	37303548	psa	1.18177e-23	2.60767e-08	0.00269911	0.00502569	4.8639619047619e-05	4.21001122566782	0.135235981445557	positive	positive_control_near_neighbor
psa	psoriasis	0.548699	NA	NA	0.30107	NA	NA	0.0020676	2198	17	31318754	32356061	psa	1.75946e-08	1.06682e-06	0.00130767	0.00427749	0.003446	3.08034635677545	0.178128994745379	positive	positive_control_near_neighbor
psa	psoriasis	0.659266	NA	NA	0.434632	NA	NA	1.36204e-07	926	6	63979	1380679	psa	2.62564e-56	1.73989e-06	0.00512458	0.00438617	3.02675555555556e-07	5.27029590578476	0.12509088897198	positive	positive_control_near_neighbor
psa	psoriasis	0.54596	NA	NA	0.298073	NA	NA	0.00066654	1649	11	36331190	37119024	psa	1.95074e-19	1.3164e-06	0.00180474	0.00312464	0.0011592	3.40298475306151	0.160435629195466	positive	positive_control_near_neighbor
psa	psoriasis	1	NA	NA	1	NA	NA	6.71271e-11	2251	18	12735559	13641479	psa	1.39346e-22	4.41082e-07	0.00224731	0.00376782	2.44098545454545e-10	6.52693959974989	0.153211161941551	positive	positive_control_near_neighbor
psa	psoriasis	0.844509	NA	NA	0.713195	NA	NA	8.43573e-06	1097	7	2473750	3100211	psa	1.0158e-09	3.00028e-06	0.00118789	0.0033185	1.77594315789474e-05	4.4538162565458	0.189614692514272	positive	positive_control_near_neighbor
psa	psoriasis	0.372741	NA	NA	0.138936	NA	NA	0.00849137	2471	22	26166935	27192923	psa	2.03917e-23	1.03538e-06	0.0026798	0.00429229	0.0117122344827586	2.63188059579282	0.14162534599626	positive	positive_control_near_neighbor
psa	psoriasis	0.385829	NA	NA	0.148864	NA	NA	0.0193681	586	3	189451806	190591293	psa	2.82813e-12	9.10009e-07	0.00158459	0.00398653	0.022786	2.33836927839817	0.164999174238339	positive	positive_control_near_neighbor
psa	psoriasis	0.0830092	NA	NA	0.00689053	NA	NA	0.60486	2159	16	78973581	79662634	psa	4.7867e-10	4.76255e-08	0.00157229	0.00516125	0.60486	0.517424300291608	0.160427718514994	positive	positive_control_near_neighbor
psa	psoriasis	0.781772	NA	NA	0.611167	NA	NA	8.94518e-08	1968	14	35379989	36422077	psa	2.81345e-72	4.47784e-06	0.00457296	0.00260155	2.236295e-07	5.34694375116956	0.146209131118875	positive	positive_control_near_neighbor
psa	psoriasis	0.445083	NA	NA	0.198099	NA	NA	0.0184058	771	4	186881569	187985393	psa	4.32814e-06	1.10822e-07	0.000988522	0.00459365	0.0223100606060606	2.35735180959049	0.188806353887975	positive	positive_control_near_neighbor
psa	psoriasis	0.603701	NA	NA	0.364454	NA	NA	0.00219806	1038	6	107309328	109043244	psa	1.68466e-07	8.33223e-06	0.00110843	0.00352412	0.003516896	3.06207822765486	0.197154009504961	positive	positive_control_near_neighbor
psa	psoriasis	0.587067	NA	NA	0.344647	NA	NA	0.00455425	888	5	132554691	134556570	psa	3.06746e-06	1.7999e-05	0.00110102	0.00385573	0.00674703703703704	2.83697975261549	0.206933799742055	positive	positive_control_near_neighbor
psa	psoriasis	0.934764	NA	NA	0.873783	NA	NA	7.8561e-08	1674	11	64594823	66782661	psa	4.25145e-18	7.78847e-06	0.00185266	0.00309277	2.09496e-07	5.37040272767492	0.17405845471941	positive	positive_control_near_neighbor
psa	psoriasis	0.462868	NA	NA	0.214247	NA	NA	0.0183807	1071	6	148184845	149278798	psa	1.195e-06	4.21692e-06	0.00108857	0.00396821	0.0223100606060606	2.35785845437167	0.196308645729689	positive	positive_control_near_neighbor
psa	psoriasis	0.112514	NA	NA	0.0126594	NA	NA	0.534114	196	1	244723197	245970505	psa	6.21907e-08	1.34346e-06	0.00129917	0.00433768	0.547809230769231	0.621738243804635	0.18096683149405	positive	positive_control_near_neighbor
psa	psoriasis	0.466065	NA	NA	0.217216	NA	NA	0.00354714	2370	20	884242	1771285	psa	1.41166e-13	6.27921e-07	0.00176008	0.00418989	0.00545713846153846	2.91585615343541	0.159838131744219	positive	positive_control_near_neighbor
psa	psoriasis	0.810025	NA	NA	0.656141	NA	NA	1.11054e-07	1410	9	32253284	33194892	psa	7.86616e-42	8.9752e-06	0.00335455	0.00301606	2.61303529411765e-07	5.30763951160445	0.152614923871334	positive	positive_control_near_neighbor
psa	psoriasis	0.543831	NA	NA	0.295752	NA	NA	0.00783467	2194	17	21432874	25872110	psa	3.42594e-09	1.26574e-05	0.00088343	0.00224106	0.0111923857142857	2.65911291755025	0.204515948311444	positive	positive_control_near_neighbor
psa	psoriasis	0.395701	NA	NA	0.156579	NA	NA	0.0392163	1073	6	150635316	151629954	psa	1.49675e-06	9.40321e-07	0.0010703	0.00426057	0.0435736666666667	2.06191005566532	0.191909922992406	positive	positive_control_near_neighbor
