locus	chr	start	stop	outcome	status
908	5	158484776	159663733	psa	OK
57	1	66778016	67761890	psa	OK
1041	6	111363444	112342873	psa	OK
26	1	23907046	25885138	psa	OK
1733	11	128262551	129451784	psa	OK
887	5	130573818	132554690	psa	OK
2195	17	25872111	27344401	psa	OK
347	2	161432090	163607635	psa	OK
53	1	61377616	62778733	psa	OK
1063	6	137553213	138825721	psa	OK
899	5	149850204	150981934	psa	OK
854	5	95117260	96467377	psa	OK
1793	12	55416803	56987105	psa	OK
2318	19	10028841	11681978	psa	OK
2450	21	35729262	37303548	psa	OK
2198	17	31318754	32356061	psa	OK
926	6	63979	1380679	psa	OK
1649	11	36331190	37119024	psa	OK
2251	18	12735559	13641479	psa	OK
1097	7	2473750	3100211	psa	OK
2471	22	26166935	27192923	psa	OK
586	3	189451806	190591293	psa	OK
2159	16	78973581	79662634	psa	OK
1968	14	35379989	36422077	psa	OK
771	4	186881569	187985393	psa	OK
1038	6	107309328	109043244	psa	OK
888	5	132554691	134556570	psa	OK
1674	11	64594823	66782661	psa	OK
1071	6	148184845	149278798	psa	OK
196	1	244723197	245970505	psa	OK
2370	20	884242	1771285	psa	OK
1410	9	32253284	33194892	psa	OK
2194	17	21432874	25872110	psa	OK
1073	6	150635316	151629954	psa	OK
1314	8	79756170	81340231	psa	OK
2244	18	5575813	6756496	psa	OK
915	5	166863414	168342743	psa	OK
1856	12	128372589	129170296	psa	OK
407	2	230541093	231847386	psa	OK
2204	17	38880482	40233545	psa	OK
