GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     859993     879961    104      24   59478       1.3954     0.081451
26155        1     879583     894679     61      11   67701       0.5673      0.28525
339451       1     895967     901099     37       7   64048      0.79809      0.21241
84069        1     901872     910488     46      19   54263       1.0792      0.14026
84808        1     910579     917473     26       7   77664       2.7066    0.0033987
57801        1     934342     936608     15       4   74030       1.1904      0.11695
9636         1     948847     949920      6       2   79689       2.1431     0.016053
375790       1     955503     991499    185      26   56523       1.9033       0.0285
401934       1    1007126    1009687      8       3   78125       1.6843     0.046063
54991        1    1017198    1051736    147      16   81319     0.034182      0.48637
254173       1    1109286    1133315    161      19   75865     -0.68867      0.75448
8784         1    1138888    1142163     12       3   80058      -0.8128      0.79183
7293         1    1146706    1149703     11       4   75869       1.1209      0.13116
51150        1    1152288    1167447    104       6   89552       1.4638     0.071622
126792       1    1167629    1170421     10       3   87617      0.38758      0.34916
388581       1    1177826    1182102     14       4   78864        0.496      0.30995
118424       1    1189292    1209234     62      11   80880     -0.10578      0.54212
6339         1    1215816    1227409     52      17   73617     -0.80387      0.78926
116983       1    1227764    1243304     72      15   62838      0.45132      0.32588
126789       1    1243962    1247057      6       4   68839     -0.25924      0.60227
54973        1    1246965    1260067     23       7   78916       0.6417      0.26053
80772        1    1260136    1264276     13       3   90877      0.75979      0.22369
83756        1    1266726    1269844      8       4   76302     0.056039      0.47766
1855         1    1270658    1284509     42       8   83146      0.66478       0.2531
54587        1    1288071    1297183     28       5   87792       1.1258      0.13013
54998        1    1309110    1310818      8       4   87072      0.62017      0.26757
81669        1    1321091    1334718     24       8   78213      0.22248      0.41197
55052        1    1337276    1342693     17       6   80734      0.62183      0.26703
441869       1    1353800    1356824      8       2   90725     -0.30248      0.61886
643965       1    1361508    1363167      9       3   69043     -0.65802      0.74474
64856        1    1370903    1378262     21       5   83978      -1.2358      0.89174
219293       1    1378152    1405538    105      14   63516      0.95616       0.1695
83858        1    1407139    1444852    175      16   56396     -0.16805      0.56673
55210        1    1447523    1470067     99      11   66316      0.11206      0.45539
339453       1    1470158    1475740     12       5   65996     -0.64308      0.73991
29101        1    1477053    1510262    107      11   84913      -1.2084      0.88655
643988       1    1533388    1535476      3       2   64331     -0.18819      0.57464
