axis	gene	CORE_status	MAGMA_Z	MAGMA_P	locus	MHC_status	expression_context	candidate_for_eQTL_coloc	rationale
F1	PSMA6	CORE	7.2815	1.6503e-13	chr14:35747811-35786680	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	CAMK2G	CORE	6.1094	5e-10	chr10:75572259-75634349	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	ADCY3	CORE	5.9626	1.241e-09	chr2:25042038-25142602	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	MRPL38	CORE	4.9942	2.954e-07	chr17:73894724-73901181	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	EP300	CORE	4.4533	4.2285e-06	chr22:41488614-41576081	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	TUFM	CORE	3.9448	3.9936e-05	chr16:28853732-28857729	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	FLT3	CORE	3.8564	5.7538e-05	chr13:28577411-28682904	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	PTPN11	CORE	3.5291	0.0002085	chr12:112856536-112947717	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	PSMD11	CORE	3.4663	0.00026385	chr17:30771481-30810337	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F1	GAB1	CORE	3.302	0.00048	chr4:144257680-144395718	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	QTRT1	CORE	7.6493	1.0103e-14	chr19:10812112-10824043	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	PSMA6	CORE	7.2815	1.6503e-13	chr14:35747811-35786680	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	IL2RA	CORE	7.2629	1.894e-13	chr10:6052657-6104333	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	ELL	CORE	7.2366	2.301e-13	chr19:18553473-18632937	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	CDKAL1	CORE	6.6506	1.4593e-11	chr6:20534688-21232635	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	MAP3K11	CORE	6.3002	1.4866e-10	chr11:65365226-65381720	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	ESYT1	CORE	6.1349	4.2603e-10	chr12:56521985-56547259	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	CAMK2G	CORE	6.1094	5e-10	chr10:75572259-75634349	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	ERBB3	CORE	6.1094	5e-10	chr12:56473809-56497291	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F2	IL5	CORE	6.1094	5e-10	chr5:131877136-131892555	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	PSMA6	CORE	7.2815	1.6503e-13	chr14:35747811-35786680	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	DNM2	CORE	7.1225	5.3006e-13	chr19:10828729-10944169	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	FYN	CORE	5.894	1.8853e-09	chr6:111981535-112194655	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	EP300	CORE	4.4533	4.2285e-06	chr22:41488614-41576081	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	OAZ3	CORE	3.908	4.6539e-05	chr1:151735445-151743806	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	PSMD11	CORE	3.4663	0.00026385	chr17:30771481-30810337	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	CD274	CORE	3.2102	0.00066312	chr9:5450503-5470567	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	XPO1	CORE	2.86	0.0021182	chr2:61705069-61765440	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	ERLIN1	CORE	2.7989	0.0025636	chr10:101909847-101945814	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F6	CUL1	CORE	2.6363	0.0041912	chr7:148395631-148498202	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
F7	SOCS1	CORE	7.9817	7.2164e-16	chr16:11348274-11350039	non_MHC	frozen_transcriptomic_axis_program	defer_phase3b; axis_not_genetically_anchored_in_phase3a	top CORE gene-level MAGMA signal within a frozen axis; not causal and not colocated in Phase 3A
