axis	program_type	gene_symbol	gene_id	annotation_status	chromosome	start	end	MHC_status	included_primary	exclusion_reason
F1	CORE	ADCY1	107	mapped	7	45614125	45762715	non_MHC	True	included_primary
F1	CORE	ADCY2	108	mapped	5	7396343	7830194	non_MHC	True	included_primary
F1	CORE	ADCY3	109	mapped	2	25042038	25142602	non_MHC	True	included_primary
F1	CORE	ADCY4	196883	mapped	14	24787555	24804277	non_MHC	True	included_primary
F1	CORE	ADCY5	111	mapped	3	123001143	123167924	non_MHC	True	included_primary
F1	CORE	ADCY6	112	mapped	12	49159975	49182820	non_MHC	True	included_primary
F1	CORE	ADCY7	113	mapped	16	50278830	50352046	non_MHC	True	included_primary
F1	CORE	ADCY8	114	mapped	8	131792546	132053012	non_MHC	True	included_primary
F1	CORE	ADCY9	115	mapped	16	4012650	4166186	non_MHC	True	included_primary
F1	CORE	ADRM1	11047	mapped	20	60877112	60884206	non_MHC	True	included_primary
F1	CORE	AGO1	26523	mapped	1	36335412	36395211	non_MHC	True	included_primary
F1	CORE	AGO2	27161	mapped	8	141541264	141645646	non_MHC	True	included_primary
F1	CORE	AGO3	192669	mapped	1	36396364	36522360	non_MHC	True	included_primary
F1	CORE	AGO4	192670	mapped	1	36273231	36323491	non_MHC	True	included_primary
F1	CORE	AKT1	207	mapped	14	105235686	105262080	non_MHC	True	included_primary
F1	CORE	AKT2	208	mapped	19	40736224	40791443	non_MHC	True	included_primary
F1	CORE	AURKAIP1	54998	mapped	1	1309110	1310818	non_MHC	True	included_primary
F1	CORE	BMAL1	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	CALM1	801	mapped	14	90863327	90874619	non_MHC	True	included_primary
F1	CORE	CAMK2A	815	mapped	5	149599054	149669403	non_MHC	True	included_primary
F1	CORE	CAMK2B	816	mapped	7	44256749	44365230	non_MHC	True	included_primary
F1	CORE	CAMK2D	817	mapped	4	114372188	114683669	non_MHC	True	included_primary
F1	CORE	CAMK2G	818	mapped	10	75572259	75634349	non_MHC	True	included_primary
F1	CORE	CAMK4	814	mapped	5	110559947	110830584	non_MHC	True	included_primary
F1	CORE	CAMKK1	84254	mapped	17	3763609	3796337	non_MHC	True	included_primary
F1	CORE	CAMKK2	10645	mapped	12	121675495	121736111	non_MHC	True	included_primary
F1	CORE	CDC42	998	mapped	1	22379120	22419439	non_MHC	True	included_primary
F1	CORE	CHCHD1	118487	mapped	10	75541808	75543406	non_MHC	True	included_primary
F1	CORE	CREB1	1385	mapped	2	208394616	208470284	non_MHC	True	included_primary
F1	CORE	CREBBP	1387	mapped	16	3775055	3930121	non_MHC	True	included_primary
F1	CORE	CUL1	8454	mapped	7	148395631	148498202	non_MHC	True	included_primary
F1	CORE	DAP3	7818	mapped	1	155657693	155708801	non_MHC	True	included_primary
F1	CORE	EP300	2033	mapped	22	41488614	41576081	non_MHC	True	included_primary
F1	CORE	ERAL1	26284	mapped	17	27182043	27188072	non_MHC	True	included_primary
F1	CORE	FGF1	2246	mapped	5	141971743	142077635	non_MHC	True	included_primary
F1	CORE	FGF10	2255	mapped	5	44305004	44389808	non_MHC	True	included_primary
F1	CORE	FGF16	8823	mapped	X	76709645	76712013	non_MHC	True	included_primary
F1	CORE	FGF17	8822	mapped	8	21900264	21906320	non_MHC	True	included_primary
F1	CORE	FGF18	8817	mapped	5	170846667	170884630	non_MHC	True	included_primary
F1	CORE	FGF19	9965	mapped	11	69513006	69519106	non_MHC	True	included_primary
F1	CORE	FGF2	2247	mapped	4	123747568	123819390	non_MHC	True	included_primary
F1	CORE	FGF20	26281	mapped	8	16850334	16859674	non_MHC	True	included_primary
F1	CORE	FGF22	27006	mapped	19	639901	643824	non_MHC	True	included_primary
F1	CORE	FGF23	8074	mapped	12	4477393	4488894	non_MHC	True	included_primary
F1	CORE	FGF3	2248	mapped	11	69624736	69634192	non_MHC	True	included_primary
F1	CORE	FGF4	2249	mapped	11	69587797	69590171	non_MHC	True	included_primary
F1	CORE	FGF5	2250	mapped	4	81187742	81212171	non_MHC	True	included_primary
F1	CORE	FGF6	2251	mapped	12	4543308	4554780	non_MHC	True	included_primary
F1	CORE	FGF7	2252	mapped	15	49715375	49779523	non_MHC	True	included_primary
F1	CORE	FGF8	2253	mapped	10	103529887	103540126	non_MHC	True	included_primary
F1	CORE	FGF9	2254	mapped	13	22245215	22278640	non_MHC	True	included_primary
F1	CORE	FGFR1	2260	mapped	8	38268656	38326352	non_MHC	True	included_primary
F1	CORE	FGFR2	2263	mapped	10	123237844	123357972	non_MHC	True	included_primary
F1	CORE	FGFR3	2261	mapped	4	1795039	1810599	non_MHC	True	included_primary
F1	CORE	FGFR4	2264	mapped	5	176513906	176525143	non_MHC	True	included_primary
F1	CORE	FLT3	2322	mapped	13	28577411	28682904	non_MHC	True	included_primary
F1	CORE	FLT3LG	2323	mapped	19	49977455	49989491	non_MHC	True	included_primary
F1	CORE	FRS2	10818	mapped	12	69864129	69973573	non_MHC	True	included_primary
F1	CORE	GAB1	2549	mapped	4	144257680	144395718	non_MHC	True	included_primary
F1	CORE	GAB2	9846	mapped	11	77926336	78128868	non_MHC	True	included_primary
F1	CORE	GADD45GIP1	90480	mapped	19	13064970	13068068	non_MHC	True	included_primary
F1	CORE	GFM1	85476	mapped	3	158362286	158410361	non_MHC	True	included_primary
F1	CORE	GRB10	2887	mapped	7	50657760	50861159	non_MHC	True	included_primary
F1	CORE	GRB2	2885	mapped	17	73314157	73401790	non_MHC	True	included_primary
F1	CORE	GRK2	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	HELLS	3070	mapped	10	96305535	96362628	non_MHC	True	included_primary
F1	CORE	HRAS	3265	mapped	11	532242	535561	non_MHC	True	included_primary
F1	CORE	INS	3630	mapped	11	2181009	2182439	non_MHC	True	included_primary
F1	CORE	INSR	3643	mapped	19	7112266	7294011	non_MHC	True	included_primary
F1	CORE	IRS1	3667	mapped	2	227596033	227664545	non_MHC	True	included_primary
F1	CORE	IRS2	8660	mapped	13	110406184	110438914	non_MHC	True	included_primary
F1	CORE	KGD4	NA	unmapped_to_NCBI37.3_gene_loc	NA	NA	NA	not_mapped	False	unmapped_to_NCBI37.3_gene_loc
F1	CORE	KL	9365	mapped	13	33590571	33640282	non_MHC	True	included_primary
F1	CORE	KLB	152831	mapped	4	39408473	39453153	non_MHC	True	included_primary
F1	CORE	KLF16	83855	mapped	19	1852398	1863564	non_MHC	True	included_primary
F1	CORE	KPNA2	3838	mapped	17	66031848	66042970	non_MHC	True	included_primary
