outcome	phase4c_role	locus	chr	start	stop	phase4br_tier	local_direction_group	rho_ukb	p_ukb	ukb_fdr_within_outcome	eqtl_tissue_priority	gene	probeID	probe_chr	probe_bp	n_tissues	tissues	tissue_classes	top_tissue	top_tissue_class	top_snp	top_snp_chr	top_snp_bp	min_p_smr	min_smr_fdr_global	min_p_heidi	n_heidi_tested	all_rows_heidi_pass_0p01	b_smr_direction	b_smr_top	se_smr_top	p_smr_top	p_heidi_top	nsnp_heidi_top	phase4c_eqtl_gene_tier
cad	primary_systemic_cardiovascular	113	1	154685546	156813845	Tier 1	positive_local_rg	0.704651	0.00467655	0.0187062	skin;blood;vascular_arterial	MEX3A	ENSG00000254726	1	156041804	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs6661281	1	156074845	0.0008127321	0.0056841078351851	0.01901508	2	True	negative	-0.0577712	0.0172533	0.0008127321	0.3128614	20.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	113	1	154685546	156813845	Tier 1	positive_local_rg	0.704651	0.00467655	0.0187062	skin;blood;vascular_arterial	UBQLN4	ENSG00000160803	1	156005092	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs3754293	1	156024373	0.0009058504	0.0062964938846625	0.296794	2	True	positive	0.163817	0.0493686	0.0009058504	0.7628697	15.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	267	2	59251997	60775066	Tier 1	positive_local_rg	0.560049	0.0155112	0.04387488	skin;blood;vascular_arterial	AC007381.3	ENSG00000228590	2	60577730	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs11125836	2	60579019	0.003928534	0.021195656847619	0.2468626	2	True	positive	0.0777067	0.0269455	0.003928534	0.2468626	19.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	positive_local_rg	0.517062	0.000357206	0.0021432359999999	skin;blood;vascular_arterial	TMEM116	ENSG00000198270	12	112369086	4	Artery_Aorta;Artery_Coronary;Artery_Tibial;Whole_Blood	blood_immune;vascular_arterial	Artery_Tibial	vascular_arterial	rs7959011	12	112501237	7.3908e-08	2.462875411764706e-06	0.05543352	4	True	negative	-0.095127	0.017677	7.3908e-08	0.2280053	17.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	positive_local_rg	0.517062	0.000357206	0.0021432359999999	skin;blood;vascular_arterial	MAPKAPK5	ENSG00000089022	12	112279782	3	Artery_Aorta;Artery_Tibial;Skin_Sun_Exposed_Lower_leg	skin;vascular_arterial	Skin_Sun_Exposed_Lower_leg	skin	rs7313360	12	112933535	2.684091e-05	0.000330844284301	0.08629712	3	True	positive	0.102925	0.0245134	2.684091e-05	0.08629712	20.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	positive_local_rg	0.517062	0.000357206	0.0021432359999999	skin;blood;vascular_arterial	ADAM1B	ENSG00000226469	12	112364822	2	Artery_Tibial;Skin_Sun_Exposed_Lower_leg	skin;vascular_arterial	Artery_Tibial	vascular_arterial	rs12423190	12	112909340	6.007208e-05	0.0006076934521428	0.02046919	2	True	negative	-0.076352	0.0190284	6.007208e-05	0.02046919	20.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	SMARCA4	ENSG00000127616	19	11071598	2	Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs112651246	19	11068171	7.346519e-11	6.9363383558333335e-09	0.08954145	2	True	positive	0.228984	0.0351557	7.346519e-11	0.08954145	20.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	RGL3	ENSG00000205517	19	11495017	2	Artery_Aorta;Whole_Blood	blood_immune;vascular_arterial	Whole_Blood	blood_immune	rs10419064	19	11512318	0.0003254598	0.0027113673044117	0.02144976	2	True	positive	0.0856945	0.0238428	0.0003254598	0.02144976	20.0	A_local_Tier1_recurrent_SMR2
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	positive_local_rg	0.517062	0.000357206	0.0021432359999999	skin;blood;vascular_arterial	ALDH2	ENSG00000111275	12	112204691	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs10744777	12	112233018	5.516234e-10	3.124946561e-08	0.01412078	1	True	positive	0.128993	0.020793	5.516234e-10	0.01412078	20.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	1841	12	111592382	113947983	Tier 1	positive_local_rg	0.517062	0.000357206	0.0021432359999999	skin;blood;vascular_arterial	MAPKAPK5-AS1	ENSG00000234608	12	112277571	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs7965368	12	112395239	3.282326e-05	0.0003756439755555	0.04001718	1	True	negative	-0.147319	0.0354735	3.282326e-05	0.04001718	20.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	YIPF2	ENSG00000130733	19	11033444	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs74179959	19	11049578	3.336922e-07	9.001744347619048e-06	0.09515718	1	True	positive	0.227304	0.0445401	3.336922e-07	0.09515718	20.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	C19orf52	ENSG00000142444	19	11039409	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs892011	19	11018403	2.001808e-05	0.0002732588510843	0.04476046	1	True	positive	0.296776	0.0695891	2.001808e-05	0.04476046	15.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	KANK2	ENSG00000197256	19	11274943	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs147762096	19	11294818	3.537581e-05	0.00038913391	0.6537236	1	True	negative	-0.118434	0.0286364	3.537581e-05	0.6537236	20.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	CTC-510F12.2	ENSG00000267082	19	11314304	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs147762096	19	11294818	4.894591e-05	0.0005200219045794	0.8058435	1	True	negative	-0.086422	0.021283	4.894591e-05	0.8058435	8.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2318	19	10028841	11681978	Tier 1	positive_local_rg	0.185281	0.0182812	0.04387488	skin;blood;vascular_arterial	CDKN2D	ENSG00000129355	19	10677138	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs11672361	19	10671378	0.009905768	0.0465694404315352	0.1047174	1	True	negative	-0.180718	0.07007	0.009905768	0.1047174	19.0	B_local_Tier1_single_tissue_SMR2
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	positive_local_rg	0.328633	0.303557	0.3311530909090909	skin;blood;vascular_arterial	GFPT1	ENSG00000198380	2	69546905	3	Artery_Aorta;Artery_Tibial;Whole_Blood	blood_immune;vascular_arterial	Artery_Aorta	vascular_arterial	rs67760762	2	69586370	0.0004310698	0.0033916811347222	0.2862684	3	True	positive	0.0959295	0.0272504	0.0004310698	0.8210883	20.0	B_local_Tier2_recurrent_SMR2
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	positive_local_rg	0.328633	0.303557	0.3311530909090909	skin;blood;vascular_arterial	ASPRV1	ENSG00000244617	2	70187226	2	Artery_Tibial;Whole_Blood	blood_immune;vascular_arterial	Whole_Blood	blood_immune	rs57086199	2	70307865	0.001112415	0.007638583	0.271778	2	True	negative	-0.119769	0.036734	0.001112415	0.6245086	15.0	B_local_Tier2_recurrent_SMR2
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	positive_local_rg	0.328633	0.303557	0.3311530909090909	skin;blood;vascular_arterial	PCBP1-AS1	ENSG00000179818	2	70189395	3	Artery_Tibial;Skin_Not_Sun_Exposed_Suprapubic;Whole_Blood	blood_immune;skin;vascular_arterial	Whole_Blood	blood_immune	rs10181046	2	70309977	0.001292122	0.0086116130941176	0.09957908	3	True	negative	-0.0795665	0.0247276	0.001292122	0.6796469	20.0	B_local_Tier2_recurrent_SMR2
cad	primary_systemic_cardiovascular	2412	20	48212976	49236418	Tier 2	positive_local_rg	0.457287	0.0347236	0.0694472	skin;blood;vascular_arterial	RNF114	ENSG00000124226	20	48552948	3	Artery_Aorta;Artery_Coronary;Artery_Tibial	vascular_arterial	Artery_Aorta	vascular_arterial	rs6067295	20	48582759	3.50551e-05	0.00038913391	0.05089895	3	True	positive	0.0846322	0.0204531	3.50551e-05	0.05259734	20.0	B_local_Tier2_recurrent_SMR2
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	positive_local_rg	0.328633	0.303557	0.3311530909090909	skin;blood;vascular_arterial	NFU1	ENSG00000169599	2	69622882	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs13421152	2	69648324	0.005053546	0.0262645303577981	0.105351	1	True	positive	0.0784787	0.0279921	0.005053546	0.105351	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	275	2	68877775	70756283	Tier 2	positive_local_rg	0.328633	0.303557	0.3311530909090909	skin;blood;vascular_arterial	AAK1	ENSG00000115977	2	69688532	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs13034911	2	69788081	0.008713526	0.0423709225665236	0.8770367	1	True	negative	-0.109004	0.0415555	0.008713526	0.8770367	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	1850	12	121817510	123396634	Tier 2	positive_local_rg	0.392168	0.0607238	0.1040979428571428	skin;blood;vascular_arterial	KDM2B	ENSG00000089094	12	121866900	1	Artery_Tibial	vascular_arterial	Artery_Tibial	vascular_arterial	rs60370741	12	121966676	0.002924567	0.016567672055	0.3221037	1	True	positive	0.10559	0.0354859	0.002924567	0.3221037	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	1850	12	121817510	123396634	Tier 2	positive_local_rg	0.392168	0.0607238	0.1040979428571428	skin;blood;vascular_arterial	RP11-347I19.8	ENSG00000272849	12	122235417	1	Skin_Sun_Exposed_Lower_leg	skin	Skin_Sun_Exposed_Lower_leg	skin	rs1168666	12	122243905	0.007104463	0.0354597206123348	0.9124219	1	True	negative	-0.0375595	0.0139527	0.007104463	0.9124219	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	1850	12	121817510	123396634	Tier 2	positive_local_rg	0.392168	0.0607238	0.1040979428571428	skin;blood;vascular_arterial	AC084018.1	ENSG00000212694	12	122233173	1	Artery_Tibial	vascular_arterial	Artery_Tibial	vascular_arterial	rs1168666	12	122243905	0.008430624	0.0411719697931034	0.6407594	1	True	negative	-0.078754	0.0298954	0.008430624	0.6407594	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	1850	12	121817510	123396634	Tier 2	positive_local_rg	0.392168	0.0607238	0.1040979428571428	skin;blood;vascular_arterial	RHOF	ENSG00000139725	12	122215664	1	Skin_Not_Sun_Exposed_Suprapubic	skin	Skin_Not_Sun_Exposed_Suprapubic	skin	rs1667579	12	122239074	0.01019795	0.0475484664609053	0.04202551	1	True	negative	-0.0713566	0.0277756	0.01019795	0.04202551	20.0	C_local_Tier2_single_tissue_SMR2
cad	primary_systemic_cardiovascular	2412	20	48212976	49236418	Tier 2	positive_local_rg	0.457287	0.0347236	0.0694472	skin;blood;vascular_arterial	B4GALT5	ENSG00000158470	20	48249482	1	Whole_Blood	blood_immune	Whole_Blood	blood_immune	rs1008006	20	48327584	0.003418035	0.0188908958780487	0.2330872	1	True	negative	-0.199622	0.0681908	0.003418035	0.2330872	20.0	C_local_Tier2_single_tissue_SMR2
crohn	ibd_direction_heterogeneity	10	1	7711795	8580987	Tier 1	positive_local_rg	0.455611	0.0115808	0.01389696	skin;blood;intestinal;immune	PARK7	ENSG00000116288	1	8014351	5	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Whole_Blood	blood_immune;intestinal;skin	Whole_Blood	blood_immune	rs17523802	1	8021740	2.914638e-05	0.000343988005625	0.0254292	5	True	positive	0.523905	0.125335	2.914638e-05	0.2250119	20.0	A_local_Tier1_recurrent_SMR2
crohn	ibd_direction_heterogeneity	10	1	7711795	8580987	Tier 1	positive_local_rg	0.455611	0.0115808	0.01389696	skin;blood;intestinal;immune	VAMP3	ENSG00000049245	1	7831329	4	Colon_Sigmoid;Colon_Transverse;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg	intestinal;skin	Colon_Transverse	intestinal	rs1048785	1	7841330	0.001444663	0.0095162975523255	0.01851543	4	True	positive	0.208633	0.0654931	0.001444663	0.01851543	20.0	A_local_Tier1_recurrent_SMR2
