locus	locus_start	locus_stop	chr	probe	cm	pos	gene	strand
57	66778016	67761890	1	ENSG00000118473	0	66999066	SGIP1	+
57	66778016	67761890	1	ENSG00000152760	0	67218142	TCTEX1D1	+
57	66778016	67761890	1	ENSG00000152763	0	67278568	WDR78	-
57	66778016	67761890	1	ENSG00000198160	0	67390578	MIER1	+
57	66778016	67761890	1	ENSG00000116704	0	67465015	SLC35D1	-
57	66778016	67761890	1	ENSG00000162594	0	67632083	IL23R	+
2251	12735559	13641479	18	ENSG00000267654	0	12739489	RP11-973H7.4	-
2251	12735559	13641479	18	ENSG00000260302	0	12774650	RP11-973H7.1	-
2251	12735559	13641479	18	ENSG00000175354	0	12785477	PTPN2	-
2251	12735559	13641479	18	ENSG00000267336	0	12912843	RP11-773H22.2	+
2251	12735559	13641479	18	ENSG00000085415	0	12947132	SEH1L	+
2251	12735559	13641479	18	ENSG00000266969	0	12984693	RP11-773H22.4	-
2251	12735559	13641479	18	ENSG00000101639	0	12991361	CEP192	+
2251	12735559	13641479	18	ENSG00000168675	0	13217497	LDLRAD4	+
2251	12735559	13641479	18	ENSG00000267529	0	13471849	RP11-53B2.1	-
2251	12735559	13641479	18	ENSG00000267702	0	13486461	RP11-53B2.2	+
2251	12735559	13641479	18	ENSG00000267366	0	13500640	RP11-53B2.5	-
2251	12735559	13641479	18	ENSG00000267136	0	13514519	RP11-53B2.3	-
2251	12735559	13641479	18	ENSG00000272746	0	13526077	RP11-53B2.6	+
2203	37361179	38880481	17	ENSG00000141750	0	37366789	STAC2	-
2203	37361179	38880481	17	ENSG00000108306	0	37415384	FBXL20	-
2203	37361179	38880481	17	ENSG00000266469	0	37558046	CTB-131K11.1	+
2203	37361179	38880481	17	ENSG00000125686	0	37560538	MED1	-
2203	37361179	38880481	17	ENSG00000167258	0	37617764	CDK12	+
2203	37361179	38880481	17	ENSG00000131771	0	37782993	PPP1R1B	+
2203	37361179	38880481	17	ENSG00000131748	0	37793318	STARD3	+
