locus	locus_start	locus_stop	chr	probe	cm	pos	gene	strand
347	161432090	163607635	2	ENSG00000136560	0	161993419	TANK	+
347	161432090	163607635	2	ENSG00000235724	0	162079296	AC009299.2	-
347	161432090	163607635	2	ENSG00000115233	0	162164549	PSMD14	+
347	161432090	163607635	2	ENSG00000232320	0	162197325	AC009299.5	-
347	161432090	163607635	2	ENSG00000226121	0	162357396	AHCTF1P1	-
347	161432090	163607635	2	ENSG00000197635	0	162848751	DPP4	-
347	161432090	163607635	2	ENSG00000236841	0	163016272	AC007750.5	+
347	161432090	163607635	2	ENSG00000078098	0	163027194	FAP	-
347	161432090	163607635	2	ENSG00000115267	0	163123589	IFIH1	-
347	161432090	163607635	2	ENSG00000115271	0	163175350	GCA	+
347	161432090	163607635	2	ENSG00000184611	0	163227917	KCNH7	-
1841	111592382	113947983	12	ENSG00000198324	0	111798455	FAM109A	-
1841	111592382	113947983	12	ENSG00000257595	0	111807086	RP3-473L9.4	+
1841	111592382	113947983	12	ENSG00000111252	0	111843752	SH2B3	+
1841	111592382	113947983	12	ENSG00000204842	0	111890018	ATXN2	-
1841	111592382	113947983	12	ENSG00000258099	0	112037302	RP11-686G8.2	+
1841	111592382	113947983	12	ENSG00000089234	0	112079950	BRAP	-
1841	111592382	113947983	12	ENSG00000258359	0	112107656	PCNPP1	-
1841	111592382	113947983	12	ENSG00000111271	0	112123857	ACAD10	+
1841	111592382	113947983	12	ENSG00000111275	0	112204691	ALDH2	+
1841	111592382	113947983	12	ENSG00000234608	0	112277571	MAPKAPK5-AS1	-
1841	111592382	113947983	12	ENSG00000089022	0	112279782	MAPKAPK5	+
1841	111592382	113947983	12	ENSG00000226469	0	112364822	ADAM1B	+
1841	111592382	113947983	12	ENSG00000198270	0	112369086	TMEM116	-
1841	111592382	113947983	12	ENSG00000089248	0	112451120	ERP29	+
1841	111592382	113947983	12	ENSG00000111300	0	112464500	NAA25	-
1841	111592382	113947983	12	ENSG00000135148	0	112563305	TRAFD1	+
1841	111592382	113947983	12	ENSG00000173064	0	112597992	HECTD4	-
1841	111592382	113947983	12	ENSG00000089009	0	112842994	RPL6	-
1841	111592382	113947983	12	ENSG00000179295	0	112856155	PTPN11	+
1841	111592382	113947983	12	ENSG00000089127	0	113344582	OAS1	+
1841	111592382	113947983	12	ENSG00000111331	0	113376157	OAS3	+
1841	111592382	113947983	12	ENSG00000111335	0	113416200	OAS2	+
1841	111592382	113947983	12	ENSG00000135144	0	113494514	DTX1	+
1841	111592382	113947983	12	ENSG00000123064	0	113594979	DDX54	-
1841	111592382	113947983	12	ENSG00000139405	0	113623331	C12orf52	+
1841	111592382	113947983	12	ENSG00000166578	0	113633246	IQCD	-
1841	111592382	113947983	12	ENSG00000186815	0	113658855	TPCN1	+
1841	111592382	113947983	12	ENSG00000089060	0	113736564	SLC8B1	-
1841	111592382	113947983	12	ENSG00000151176	0	113796371	PLBD2	+
1841	111592382	113947983	12	ENSG00000135094	0	113830250	SDS	-
1841	111592382	113947983	12	ENSG00000139410	0	113860042	SDSL	+
113	154685546	156813845	1	ENSG00000163344	0	154897210	PMVK	-
113	154685546	156813845	1	ENSG00000163346	0	154916552	PBXIP1	-
113	154685546	156813845	1	ENSG00000163348	0	154929502	PYGO2	-
113	154685546	156813845	1	ENSG00000271380	0	154934301	RP11-307C12.12	+
113	154685546	156813845	1	ENSG00000160691	0	154934774	SHC1	-
113	154685546	156813845	1	ENSG00000173207	0	154947129	CKS1B	+
113	154685546	156813845	1	ENSG00000160688	0	154955814	FLAD1	+
113	154685546	156813845	1	ENSG00000160685	0	154975127	ZBTB7B	+
113	154685546	156813845	1	ENSG00000163354	0	154990996	DCST2	-
113	154685546	156813845	1	ENSG00000163357	0	155006300	DCST1	+
113	154685546	156813845	1	ENSG00000232093	0	155017667	RP11-307C12.11	-
113	154685546	156813845	1	ENSG00000143537	0	155023042	ADAM15	+
113	154685546	156813845	1	ENSG00000243364	0	155036207	EFNA4	+
113	154685546	156813845	1	ENSG00000143590	0	155036224	EFNA3	+
113	154685546	156813845	1	ENSG00000169242	0	155099936	EFNA1	+
113	154685546	156813845	1	ENSG00000169241	0	155107820	SLC50A1	+
113	154685546	156813845	1	ENSG00000179085	0	155112367	DPM3	-
113	154685546	156813845	1	ENSG00000163463	0	155141884	KRTCAP2	-
113	154685546	156813845	1	ENSG00000163462	0	155145873	TRIM46	+
113	154685546	156813845	1	ENSG00000185499	0	155158300	MUC1	-
113	154685546	156813845	1	ENSG00000169231	0	155165379	THBS3	-
113	154685546	156813845	1	ENSG00000231064	0	155166659	RP11-263K19.4	+
113	154685546	156813845	1	ENSG00000173171	0	155178490	MTX1	+
113	154685546	156813845	1	ENSG00000236263	0	155180942	RP11-263K19.6	-
113	154685546	156813845	1	ENSG00000160766	0	155183616	GBAP1	-
113	154685546	156813845	1	ENSG00000236675	0	155200766	MTX1P1	+
113	154685546	156813845	1	ENSG00000177628	0	155204243	GBA	-
113	154685546	156813845	1	ENSG00000160767	0	155216996	FAM189B	-
113	154685546	156813845	1	ENSG00000116521	0	155225770	SCAMP3	-
113	154685546	156813845	1	ENSG00000176444	0	155232659	CLK2	-
113	154685546	156813845	1	ENSG00000143630	0	155247374	HCN3	+
113	154685546	156813845	1	ENSG00000160752	0	155278539	FDPS	+
113	154685546	156813845	1	ENSG00000225855	0	155286654	RUSC1-AS1	-
113	154685546	156813845	1	ENSG00000160753	0	155290687	RUSC1	+
113	154685546	156813845	1	ENSG00000116539	0	155305059	ASH1L	-
113	154685546	156813845	1	ENSG00000235919	0	155531821	ASH1L-AS1	+
113	154685546	156813845	1	ENSG00000271267	0	155535841	RP11-29H23.7	-
113	154685546	156813845	1	ENSG00000125459	0	155579979	MSTO1	+
113	154685546	156813845	1	ENSG00000203761	0	155581011	MSTO2P	+
113	154685546	156813845	1	ENSG00000246203	0	155584517	RP11-29H23.5	-
113	154685546	156813845	1	ENSG00000163374	0	155629237	YY1AP1	-
113	154685546	156813845	1	ENSG00000132676	0	155657751	DAP3	+
113	154685546	156813845	1	ENSG00000116580	0	155719508	GON4L	-
113	154685546	156813845	1	ENSG00000132718	0	155829300	SYT11	+
113	154685546	156813845	1	ENSG00000143622	0	155867599	RIT1	-
113	154685546	156813845	1	ENSG00000132680	0	155882834	KIAA0907	-
113	154685546	156813845	1	ENSG00000173080	0	155911480	RXFP4	+
113	154685546	156813845	1	ENSG00000116584	0	155916630	ARHGEF2	-
113	154685546	156813845	1	ENSG00000273002	0	155948590	RP11-336K24.12	+
113	154685546	156813845	1	ENSG00000163479	0	155978839	SSR2	-
113	154685546	156813845	1	ENSG00000160803	0	156005092	UBQLN4	-
113	154685546	156813845	1	ENSG00000116586	0	156024543	LAMTOR2	+
113	154685546	156813845	1	ENSG00000132698	0	156030951	RAB25	+
113	154685546	156813845	1	ENSG00000254726	0	156041804	MEX3A	-
113	154685546	156813845	1	ENSG00000160789	0	156052364	LMNA	+
