locus	locus_start	locus_stop	chr	probe	cm	pos	gene	strand
57	66778016	67761890	1	ENSG00000118473	0	66999066	SGIP1	+
57	66778016	67761890	1	ENSG00000248458	0	67131547	AL139147.1	-
57	66778016	67761890	1	ENSG00000152760	0	67218142	TCTEX1D1	+
57	66778016	67761890	1	ENSG00000152763	0	67278568	WDR78	-
57	66778016	67761890	1	ENSG00000198160	0	67390578	MIER1	+
57	66778016	67761890	1	ENSG00000116704	0	67465015	SLC35D1	-
887	130573818	132554690	5	ENSG00000158985	0	130581186	CDC42SE2	+
887	130573818	132554690	5	ENSG00000158987	0	130759614	RAPGEF6	-
887	130573818	132554690	5	ENSG00000217128	0	130977407	FNIP1	-
887	130573818	132554690	5	ENSG00000164398	0	131142683	ACSL6	-
887	130573818	132554690	5	ENSG00000072682	0	131527531	P4HA2	-
887	130573818	132554690	5	ENSG00000224431	0	131535149	AC063976.7	+
887	130573818	132554690	5	ENSG00000131435	0	131593364	PDLIM4	+
887	130573818	132554690	5	ENSG00000197208	0	131630136	SLC22A4	+
887	130573818	132554690	5	ENSG00000233006	0	131646978	AC034220.3	-
887	130573818	132554690	5	ENSG00000197375	0	131705444	SLC22A5	+
887	130573818	132554690	5	ENSG00000197536	0	131746328	C5orf56	+
887	130573818	132554690	5	ENSG00000234290	0	131804582	AC116366.6	-
887	130573818	132554690	5	ENSG00000125347	0	131817301	IRF1	-
887	130573818	132554690	5	ENSG00000113522	0	131891711	RAD50	+
887	130573818	132554690	5	ENSG00000223442	0	131966281	AC004041.2	-
887	130573818	132554690	5	ENSG00000169194	0	131991955	IL13	+
887	130573818	132554690	5	ENSG00000230612	0	132024373	AC004237.1	+
887	130573818	132554690	5	ENSG00000131437	0	132028320	KIF3A	-
887	130573818	132554690	5	ENSG00000205089	0	132083137	CCNI2	+
887	130573818	132554690	5	ENSG00000164402	0	132086509	SEPT8	-
887	130573818	132554690	5	ENSG00000198944	0	132149033	SOWAHA	+
887	130573818	132554690	5	ENSG00000164403	0	132157833	SHROOM1	-
887	130573818	132554690	5	ENSG00000164404	0	132196873	GDF9	-
887	130573818	132554690	5	ENSG00000164405	0	132202252	UQCRQ	+
887	130573818	132554690	5	ENSG00000164406	0	132208014	LEAP2	+
887	130573818	132554690	5	ENSG00000072364	0	132211071	AFF4	-
887	130573818	132554690	5	ENSG00000235253	0	132278624	AC010240.2	+
887	130573818	132554690	5	ENSG00000155329	0	132332677	ZCCHC10	-
887	130573818	132554690	5	ENSG00000248648	0	132338811	RP11-485M7.1	+
887	130573818	132554690	5	ENSG00000170606	0	132387654	HSPA4	+
887	130573818	132554690	5	ENSG00000251616	0	132446747	RP11-485M7.3	-
887	130573818	132554690	5	ENSG00000248245	0	132496130	CTB-49A3.2	+
887	130573818	132554690	5	ENSG00000053108	0	132532147	FSTL4	-
1082	158952061	159604052	6	ENSG00000146433	0	158957468	TMEM181	+
1082	158952061	159604052	6	ENSG00000218226	0	159030738	TATDN2P2	-
1082	158952061	159604052	6	ENSG00000146425	0	159057506	DYNLT1	-
1082	158952061	159604052	6	ENSG00000164674	0	159071046	SYTL3	+
1082	158952061	159604052	6	ENSG00000092820	0	159186773	EZR	-
1082	158952061	159604052	6	ENSG00000203711	0	159290971	C6orf99	+
1082	158952061	159604052	6	ENSG00000130363	0	159393903	RSPH3	-
1082	158952061	159604052	6	ENSG00000271913	0	159409210	RP1-111C20.4	+
1082	158952061	159604052	6	ENSG00000164691	0	159455500	TAGAP	-
1082	158952061	159604052	6	ENSG00000233682	0	159586941	RP11-13P5.2	-
1082	158952061	159604052	6	ENSG00000164694	0	159590429	FNDC1	+
2251	12735559	13641479	18	ENSG00000175354	0	12785477	PTPN2	-
2251	12735559	13641479	18	ENSG00000085415	0	12947132	SEH1L	+
2251	12735559	13641479	18	ENSG00000266969	0	12984693	RP11-773H22.4	-
2251	12735559	13641479	18	ENSG00000101639	0	12991361	CEP192	+
2251	12735559	13641479	18	ENSG00000168675	0	13217497	LDLRAD4	+
2251	12735559	13641479	18	ENSG00000267690	0	13419420	LDLRAD4-AS1	-
2251	12735559	13641479	18	ENSG00000267702	0	13486461	RP11-53B2.2	+
2251	12735559	13641479	18	ENSG00000267136	0	13514519	RP11-53B2.3	-
2251	12735559	13641479	18	ENSG00000272746	0	13526077	RP11-53B2.6	+
58	67761891	68633860	1	ENSG00000081985	0	67773047	IL12RB2	+
58	67761891	68633860	1	ENSG00000142864	0	67873493	SERBP1	-
58	67761891	68633860	1	ENSG00000116717	0	68150744	GADD45A	+
58	67761891	68633860	1	ENSG00000172380	0	68167149	GNG12	-
58	67761891	68633860	1	ENSG00000232284	0	68297986	GNG12-AS1	+
58	67761891	68633860	1	ENSG00000162595	0	68511645	DIRAS3	-
58	67761891	68633860	1	ENSG00000116729	0	68564142	WLS	-
58	67761891	68633860	1	ENSG00000234383	0	68627444	CTBP2P8	-
1559	79952997	81190573	10	ENSG00000224596	0	80703085	ZMIZ1-AS1	-
1559	79952997	81190573	10	ENSG00000108175	0	80828792	ZMIZ1	+
1559	79952997	81190573	10	ENSG00000108179	0	81107225	PPIF	+
1559	79952997	81190573	10	ENSG00000165424	0	81142081	ZCCHC24	-
